Emanuel Reynoso ,170,68,16(2),1371	,6	,4	,4	,-	,2.6	,80.7	,0.6	,3	,7.74
Bongokuhle Hlongwane ,185,78,29(1),2492	,8	,3	,2	,-	,2.8	,70.2	,1.4	,5	,7.12
Teemu Pukki ,180,81,13(1),1040	,10	,1	,-	,-	,2.8	,78.2	,0.1	,1	,7.06
Hassani Dotson ,180,78,29(5),2573	,3	,3	,3	,-	,1.4	,82.4	,1.3	,3	,6.94
Robin Lod ,181,86,10,899	,-	,1	,-	,-	,1.9	,81.4	,1.2	,1	,6.78
Michael Boxall ,191,95,32,2856	,2	,-	,9	,-	,0.4	,88.1	,1.3	,-	,6.69
Miguel Tapias ,179,70,32,2860	,1	,-	,5	,-	,0.4	,84.9	,1.6	,-	,6.69
Kervin Arriaga ,191,77,11(9),1162	,2	,2	,5	,-	,0.9	,80.1	,2.5	,2	,6.66
Ján Gregus ,189,82,10(2),906	,1	,-	,3	,-	,0.8	,91.1	,0.6	,-	,6.65
Ismael Tajouri-Shradi ,170,64,2(8),344	,1	,2	,1	,-	,1.7	,89.3	,0.1	,-	,6.63
DJ Taylor ,173,83,29(1),2516	,-	,-	,8	,-	,0.5	,74.1	,1.1	,-	,6.63
Kemar Lawrence ,178,73,13(1),1118	,-	,-	,-	,-	,0.2	,75.2	,1.3	,-	,6.62
Dayne St. Clair ,191,86,30,2700	,-	,1	,2	,-	,-	,73	,0.2	,1	,6.58
Clint Irwin ,191,88,4,360	,-	,-	,1	,-	,-	,74	,1	,-	,6.57
Wil Trapp ,173,73,28(2),2426	,-	,-	,6	,-	,0.8	,85.3	,0.8	,-	,6.56
Joseph Rosales ,180,73,13(5),1095	,1	,-	,-	,-	,0.9	,78.7	,0.5	,-	,6.56
Franco Fragapane ,170,66,14(10),1337	,1	,2	,3	,-	,0.8	,79.5	,0.3	,-	,6.51
Luis Amarilla ,182,73,8(5),743	,2	,-	,2	,-	,1.7	,73.6	,1.8	,-	,6.47
Emmanuel Iwe ,175,69,0(3),50	,-	,-	,-	,-	,1.3	,63.6	,-	,-	,6.37
Zarek Valentin ,183,77,15(5),1323	,-	,2	,-	,-	,-	,75.6	,0.7	,1	,6.35
Devin Padelford ,183,78,0(8),149	,1	,-	,-	,-	,0.3	,72.2	,1.3	,-	,6.30
Jeong Sang-Bin ,175,76,9(14),954	,1	,1	,2	,-	,0.9	,72.4	,0.4	,-	,6.29
Ménder García ,179,70,13(17),1027	,3	,1	,-	,-	,0.8	,77.7	,0.6	,-	,6.28
Cameron Dunbar ,165,70,1(2),112	,-	,-	,-	,-	,0.7	,68.8	,-	,-	,6.20
Brent Kallman ,188,86,2(5),196	,-	,-	,-	,-	,-	,84.5	,1.1	,-	,6.12
Tani Oluwaseyi ,191,80,0(2),11	,-	,-	,-	,-	,0.5	,-	,-	,-	,6.11
Bakaye Dibassy ,183,74,5(3),482	,-	,-	,-	,-	,0.4	,86.2	,0.6	,-	,6.10
Ethan Bristow ,187,79,6(3),542	,-	,-	,-	,1	,-	,81.9	,0.1	,-	,6.04
Zaydan Bello ,186,0,0(1),14	,-	,-	,1	,-	,-	,60	,-	,-	,5.98
Mikael Marqués ,185,75,0(1),5	,-	,-	,-	,-	,-	,75	,-	,-	,5.90
