Age,Position,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
30,M(CLR),Cristian Espinoza ,175,73,35,3156	,13	,8	,6	,-	,1.9	,77.7	,0.1	,12	,7.39
27,D(C),Rodrigues ,188,76,35,3121	,1	,1	,6	,-	,0.7	,85.1	,2.4	,2	,7.10
32,D(LR)/M(R),Carlos Akapo ,179,70,26(3),2276	,2	,3	,3	,-	,0.9	,77.5	,1.8	,-	,6.95
28,AM(LR)/FW,Jeremy Ebobisse ,183,82,35,3054	,10	,2	,3	,-	,1.8	,77.5	,0.8	,2	,6.92
31,GK,Daniel ,188,93,23,2067	,-	,-	,1	,1	,-	,72.7	,0.3	,4	,6.90
28,D(C)/M(C),Jackson Yueill ,175,76,32,2847	,1	,4	,6	,-	,0.9	,88.2	,0.2	,-	,6.71
28,GK,JT Marcinkowski ,185,84,12(1),1111	,-	,-	,1	,-	,-	,65.2	,0.1	,-	,6.69
30,D(LR)/M(L),Paul Marie ,170,69,22(12),2076	,1	,1	,8	,-	,0.7	,77	,0.5	,-	,6.64
31,M(CL)/FW,Jamiro Monteiro ,172,63,26(3),2230	,1	,3	,4	,1	,1	,87.9	,0.1	,-	,6.58
21,AM(L)/FW,Cade Cowell ,183,79,20(4),1620	,1	,2	,2	,-	,1.7	,69.8	,0.3	,1	,6.53
32,D(L)/M(L),Miguel Trauco ,175,62,24(4),2057	,3	,-	,2	,-	,0.8	,80.7	,0.3	,1	,6.52
25,D(C),Daniel Munie ,183,82,1(2),109	,-	,-	,1	,-	,0.3	,72.2	,1.7	,-	,6.48
34,D(CR),Jonathan Mensah ,188,83,22(5),2069	,-	,-	,3	,-	,0.6	,87.9	,2.2	,-	,6.47
30,DMC,Carlos Gruezo ,173,67,26(3),2243	,-	,2	,8	,-	,0.4	,85.4	,0.4	,-	,6.46
24,FW,Matthew Hoppe ,191,80,5(3),478	,2	,-	,1	,-	,1.3	,74.4	,0.1	,1	,6.44
28,D(CL),Tanner Beason ,185,80,15(8),1402	,-	,1	,1	,1	,0.3	,82.8	,1.5	,-	,6.42
27,AM(C),Jack Skahan ,178,78,4(6),405	,1	,1	,2	,-	,0.4	,83.8	,0.2	,-	,6.41
19,M(C),Niko Tsakiris ,178,70,7(9),645	,-	,-	,4	,-	,0.4	,84.2	,0.3	,-	,6.28
25,D(R)/M(L)/FW,Benjamin Kikanovic ,183,75,7(17),700	,1	,-	,2	,-	,0.6	,75.9	,1	,-	,6.24
32,DMC,Judson ,168,76,4(13),498	,-	,-	,5	,1	,0.1	,87.1	,0.2	,-	,6.21
29,D(LR)/M(CLR),Tommy Thompson ,170,72,1(18),339	,-	,-	,1	,-	,0.4	,85.4	,0.1	,-	,6.17
25,DMC,Michael Baldisimo ,168,75,3(7),292	,-	,-	,2	,-	,-	,88.8	,0.2	,-	,6.16
25,Forward,Ousseni Bouda ,175,78,0(15),139	,1	,-	,2	,-	,0.5	,75	,0.5	,-	,6.09
25,FW,Ayo Akinola ,178,81,0(7),52	,-	,-	,-	,-	,0.1	,85.7	,-	,-	,6.03
24,Midfielder,Cam Cilley ,180,82,0(2),2	,-	,-	,-	,-	,-	,40	,-	,-	,6.00
