rank,team,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,notes
1, FC Cincinnati,2,1,1,0,4,1,+3,4,2.00,2.4,1.5,+0.9,+0.44,→ Conference Semifinals 
2, NY Red Bulls,2,0,1,1,1,4,-3,1,0.50,1.5,2.4,-0.9,-0.44,
