rank,team,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,notes
1, Houston Dynamo,3,1,2,0,4,3,+1,5,1.67,4.5,1.8,+2.6,+0.88,→ Conference Semifinals 
2, Real Salt Lake,3,0,2,1,3,4,-1,2,0.67,1.8,4.5,-2.6,-0.88,
