ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
762,Nkosi Tafari,us USA,DF,FC Dallas,25,1997,30,27,2489,27.7,3,3,6,3,0,0,4,0,0.7,0.7,1.9,2.6,10,85,7,0.11,0.11,0.22,0.11,0.22,0.03,0.07,0.09,0.03,0.09,Matches
763,Ismael Tajouri-Shradi,ly LBY,FW,Minnesota Utd,28,1994,10,2,347,3.9,1,2,3,1,0,0,1,0,1.6,1.6,1.1,2.7,16,19,25,0.26,0.52,0.78,0.26,0.78,0.41,0.29,0.71,0.41,0.71,Matches
764,Yohei Takaoka,jp JPN,GK,Vancouver W'caps,26,1996,33,33,2970,33.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
765,Miguel Tapias,mx MEX,DF,Minnesota Utd,26,1997,32,32,2859,31.8,1,0,1,1,0,0,5,0,0.6,0.6,1.1,1.6,10,92,0,0.03,0.00,0.03,0.03,0.03,0.02,0.03,0.05,0.02,0.05,Matches
766,Andrew Tarbell,us USA,GK,Houston Dynamo,29,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
767,Sidnei Tavares,pt POR,MF,Colorado Rapids,21,2001,5,5,299,3.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,6,15,7,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
768,D.J. Taylor,us USA,DF,Minnesota Utd,25,1997,30,29,2511,27.9,0,0,0,0,0,0,8,0,0.8,0.8,1.8,2.7,46,130,162,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10,0.03,0.10,Matches
769,Robert Taylor,fi FIN,FWDF,Inter Miami,28,1994,27,15,1457,16.2,4,5,9,4,0,0,6,0,1.0,1.0,2.2,3.2,49,73,149,0.25,0.31,0.56,0.25,0.56,0.06,0.13,0.20,0.06,0.20,Matches
770,Russell Teibert,ca CAN,MF,Vancouver W'caps,30,1992,7,0,153,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,3,7,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
771,Carlos Terán,co COL,DF,Chicago Fire,22,2000,24,18,1574,17.5,1,0,1,1,0,0,5,0,0.5,0.5,0.2,0.7,8,40,6,0.06,0.00,0.06,0.06,0.06,0.03,0.01,0.04,0.03,0.04,Matches
772,Dylan Teves,us USA,FW,Seattle Sounders,22,2000,13,3,383,4.3,0,0,0,0,0,0,0,0,0.9,0.9,0.2,1.1,10,13,48,0.00,0.00,0.00,0.00,0.00,0.21,0.05,0.25,0.21,0.25,Matches
773,Thiago,br BRA,FWMF,NYCFC,22,2000,4,1,137,1.5,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,1,0,12,0.66,0.00,0.66,0.66,0.66,0.20,0.09,0.28,0.20,0.28,Matches
774,Jamal Thiaré,sn SEN,FW,Atlanta Utd,29,1993,4,0,50,0.6,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,1,1,3,0.00,0.00,0.00,0.00,0.00,0.72,0.00,0.72,0.72,0.72,Matches
775,Erik Thommy,de GER,MFFW,Sporting KC,28,1994,34,32,2580,28.7,5,5,10,5,0,1,7,0,5.5,4.7,3.3,8.0,110,154,166,0.17,0.17,0.35,0.17,0.35,0.19,0.11,0.31,0.16,0.28,Matches
Rk
776,Kosi Thompson,ca CAN,MFFW,Toronto FC,20,2003,14,6,582,6.5,1,0,1,1,0,0,0,0,0.6,0.6,0.9,1.5,4,13,11,0.15,0.00,0.15,0.15,0.15,0.10,0.13,0.23,0.10,0.23,Matches
777,Tommy Thompson,us USA,MFDF,SJ Earthquakes,27,1995,19,1,355,3.9,0,0,0,0,0,0,1,0,0.8,0.8,0.2,1.0,6,18,23,0.00,0.00,0.00,0.00,0.00,0.19,0.06,0.25,0.19,0.25,Matches
778,Timmy Tillman,de GER,MF,LAFC,24,1999,25,20,1648,18.3,4,1,5,4,0,0,6,0,2.2,2.2,1.0,3.2,32,101,58,0.22,0.05,0.27,0.22,0.27,0.12,0.05,0.17,0.12,0.17,Matches
779,John Tolkin,us USA,DF,NY Red Bulls,20,2002,27,27,2377,26.4,3,6,9,2,1,1,5,0,2.8,2.0,4.4,6.4,54,109,86,0.11,0.23,0.34,0.08,0.30,0.11,0.17,0.27,0.08,0.24,Matches
780,Nouhou Tolo,cm CMR,DF,Seattle Sounders,25,1997,28,23,2048,22.8,0,0,0,0,0,0,6,0,0.4,0.4,0.6,0.9,52,116,29,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
781,Facundo Torres,uy URU,FWMF,Orlando City,22,2000,30,28,2367,26.3,14,3,17,9,5,5,2,0,10.2,6.3,4.2,10.5,96,140,259,0.53,0.11,0.65,0.34,0.46,0.39,0.16,0.55,0.24,0.40,Matches
782,Jairo Torres,mx MEX,MFFW,Chicago Fire,22,2000,22,8,763,8.5,0,0,0,0,0,0,2,0,1.9,1.9,0.5,2.4,25,32,51,0.00,0.00,0.00,0.00,0.00,0.23,0.06,0.29,0.23,0.29,Matches
783,Joaquín Torres,ar ARG,MFFW,Philadelphia Union,26,1997,13,3,352,3.9,1,1,2,1,0,0,3,0,0.5,0.5,0.7,1.2,10,16,32,0.26,0.26,0.51,0.26,0.51,0.13,0.17,0.29,0.13,0.29,Matches
784,Mason Toye,us USA,FW,CF Montréal,24,1998,14,8,676,7.5,3,0,3,3,0,0,0,0,2.1,2.1,0.4,2.5,7,9,46,0.40,0.00,0.40,0.40,0.40,0.28,0.05,0.33,0.28,0.33,Matches
785,Wil Trapp,us USA,MF,Minnesota Utd,30,1993,30,28,2419,26.9,0,0,0,0,0,0,6,0,0.7,0.7,1.5,2.2,17,167,17,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.08,0.03,0.08,Matches
786,Miguel Trauco,pe PER,DF,SJ Earthquakes,30,1992,27,24,2005,22.3,3,0,3,3,0,0,2,0,0.9,0.9,1.3,2.1,23,120,41,0.13,0.00,0.13,0.13,0.13,0.04,0.06,0.09,0.04,0.09,Matches
787,Niko Tsakiris,us USA,MF,SJ Earthquakes,17,2005,15,7,609,6.8,0,0,0,0,0,0,4,0,0.4,0.4,0.7,1.0,15,39,20,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.15,0.05,0.15,Matches
788,Bill Tuiloma,nz NZL,DF,Charlotte,27,1995,17,15,1353,15.0,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,2,60,3,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03,Matches
789,Stephen Turnbull,us USA,DFMF,NYCFC,24,1998,11,5,483,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.8,0.8,10,19,35,0.00,0.00,0.00,0.00,0.00,0.01,0.15,0.15,0.01,0.15,Matches
790,Ema Twumasi,gh GHA,DF,FC Dallas,25,1997,23,18,1576,17.5,1,0,1,1,0,0,3,1,0.1,0.1,0.8,0.9,44,61,59,0.06,0.00,0.06,0.06,0.06,0.01,0.05,0.05,0.01,0.05,Matches
791,Marinos Tzionis,cy CYP,FWMF,Sporting KC,21,2001,21,6,725,8.1,0,1,1,0,0,0,0,0,1.0,1.0,0.2,1.2,21,26,75,0.00,0.12,0.12,0.00,0.12,0.13,0.03,0.15,0.13,0.15,Matches
792,Mikael Uhre,dk DEN,FW,Philadelphia Union,28,1994,33,26,2143,23.8,9,4,13,9,0,0,3,0,7.8,7.8,3.3,11.1,44,27,170,0.38,0.17,0.55,0.38,0.55,0.33,0.14,0.47,0.33,0.47,Matches
793,Þorleifur Úlfarsson,is ISL,FWMF,Houston Dynamo,22,2000,18,1,477,5.3,3,1,4,3,0,0,1,0,1.3,1.3,1.1,2.4,5,6,35,0.57,0.19,0.75,0.57,0.75,0.25,0.21,0.45,0.25,0.45,Matches
794,Victor Ulloa,us USA,MF,Inter Miami,30,1992,10,2,161,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,9,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
795,Jere Uronen,fi FIN,DF,Charlotte,28,1994,9,7,608,6.8,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,6,34,19,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,Matches
796,Maximiliano Urruti,ar ARG,FW,Austin,31,1991,25,10,971,10.8,1,0,1,1,0,0,3,0,2.9,2.9,0.2,3.1,11,16,29,0.09,0.00,0.09,0.09,0.09,0.27,0.02,0.29,0.27,0.29,Matches
797,Júnior Urso,br BRA,MFFW,Orlando City,33,1989,9,2,256,2.8,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,2,7,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
798,Leo Väisänen,fi FIN,DF,Austin,25,1997,21,20,1762,19.6,1,1,2,1,0,0,4,0,1.1,1.1,0.5,1.6,4,54,0,0.05,0.05,0.10,0.05,0.10,0.05,0.03,0.08,0.05,0.08,Matches
799,Jhojan Valencia,co COL,MF,Austin,26,1996,27,16,1432,15.9,0,1,1,0,0,0,4,0,0.3,0.3,0.5,0.8,5,63,11,0.00,0.06,0.06,0.00,0.06,0.02,0.03,0.05,0.02,0.05,Matches
800,Zarek Valentin,pr PUR,DF,Minnesota Utd,31,1991,20,15,1322,14.7,0,2,2,0,0,0,0,0,0.0,0.0,1.1,1.1,16,52,47,0.00,0.14,0.14,0.00,0.14,0.00,0.08,0.08,0.00,0.08,Matches
Rk
801,Gerardo Valenzuela,us USA,MF,FC Cincinnati,18,2004,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
802,Gustavo Vallecilla,ec ECU,DF,Columbus Crew,23,1999,12,10,844,9.4,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,11,60,5,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
803,Dante Vanzeir,be BEL,FWMF,NY Red Bulls,24,1998,19,8,749,8.3,2,1,3,2,0,0,2,0,2.3,2.3,1.3,3.5,20,16,71,0.24,0.12,0.36,0.24,0.36,0.27,0.15,0.42,0.27,0.42,Matches
804,Kerwin Vargas,co COL,FWMF,Charlotte,21,2002,29,18,1489,16.5,4,3,7,4,0,0,4,0,1.6,1.6,3.6,5.2,47,65,171,0.24,0.18,0.42,0.24,0.42,0.10,0.22,0.31,0.10,0.31,Matches
805,Marlon Vargas,sv SLV,MF,Colorado Rapids,22,2001,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
806,Obed Vargas,mx MEX,MF,Seattle Sounders,17,2005,22,14,1321,14.7,0,1,1,0,0,0,0,0,0.2,0.2,0.6,0.8,15,66,32,0.00,0.07,0.07,0.00,0.07,0.01,0.04,0.05,0.01,0.05,Matches
807,Indiana Vassilev,us USA,MF,St. Louis,21,2001,34,25,2112,23.5,2,4,6,2,0,0,2,0,2.2,2.2,2.6,4.8,49,89,71,0.09,0.17,0.26,0.09,0.26,0.09,0.11,0.20,0.09,0.20,Matches
808,Brandon Vazquez,us USA,FW,FC Cincinnati,24,1998,29,27,2373,26.4,8,2,10,7,1,1,3,0,11.2,10.4,3.1,13.5,41,46,163,0.30,0.08,0.38,0.27,0.34,0.43,0.12,0.54,0.40,0.51,Matches
809,Víctor Vázquez,es ESP,MFFW,Toronto FC,36,1987,12,3,241,2.7,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,4,21,7,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.06,0.03,0.06,Matches
810,Carlos Vela,mx MEX,FW,LAFC,33,1989,34,23,2066,23.0,9,7,16,6,3,5,0,0,11.2,7.3,5.6,12.9,38,165,180,0.39,0.30,0.70,0.26,0.57,0.49,0.25,0.73,0.32,0.56,Matches
811,Alan Velasco,ar ARG,FWMF,FC Dallas,20,2002,28,27,2258,25.1,4,2,6,4,0,0,6,0,2.8,2.8,2.9,5.7,98,93,140,0.16,0.08,0.24,0.16,0.24,0.11,0.12,0.23,0.11,0.23,Matches
812,Brayan Vera,co COL,DF,Real Salt Lake,24,1999,24,24,2039,22.7,3,1,4,3,0,0,11,0,0.9,0.9,0.6,1.6,21,76,8,0.13,0.04,0.18,0.13,0.18,0.04,0.03,0.07,0.04,0.07,Matches
813,Ranko Veselinović,rs SRB,DF,Vancouver W'caps,23,1999,32,31,2823,31.4,2,2,4,2,0,0,2,0,1.2,1.2,1.3,2.5,6,82,7,0.06,0.06,0.13,0.06,0.13,0.04,0.04,0.08,0.04,0.08,Matches
814,Jules-Anthony Vilsaint,ca CAN,FW,CF Montréal,20,2003,11,4,410,4.6,1,1,2,1,0,0,0,0,1.7,1.7,0.5,2.2,11,9,28,0.22,0.22,0.44,0.22,0.44,0.36,0.12,0.48,0.36,0.48,Matches
815,Pedro Vite,ec ECU,MFFW,Vancouver W'caps,20,2002,34,24,2151,23.9,4,0,4,4,0,0,4,0,2.9,2.9,2.8,5.7,35,171,124,0.17,0.00,0.17,0.17,0.17,0.12,0.12,0.24,0.12,0.24,Matches
