ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
Rk
826,Ashley Westwood,eng ENG,MF,Charlotte,32,1990,29,29,2527,28.1,3,2,5,3,0,0,6,0,0.9,0.9,3.1,4.1,19,220,67,0.11,0.07,0.18,0.11,0.18,0.03,0.11,0.14,0.03,0.14,Matches
827,Brian White,us USA,FW,Vancouver W'caps,26,1996,32,30,2542,28.2,15,4,19,15,0,0,4,0,15.5,15.5,4.5,20.0,21,39,178,0.53,0.14,0.67,0.53,0.67,0.55,0.16,0.71,0.55,0.71,Matches
828,Caleb Wiley,us USA,DFFW,Atlanta Utd,18,2004,30,28,2327,25.9,4,3,7,4,0,0,1,0,2.2,2.2,2.2,4.4,61,81,146,0.15,0.12,0.27,0.15,0.27,0.08,0.09,0.17,0.08,0.17,Matches
829,Derrick Williams,ie IRL,DF,D.C. United,30,1993,24,21,1848,20.5,1,0,1,1,0,0,4,0,1.3,1.3,0.4,1.7,7,67,5,0.05,0.00,0.05,0.05,0.05,0.06,0.02,0.08,0.06,0.08,Matches
830,Eryk Williamson,us USA,MF,Portland Timbers,25,1997,6,6,529,5.9,0,1,1,0,0,0,2,0,0.0,0.0,0.5,0.6,12,31,17,0.00,0.17,0.17,0.00,0.17,0.00,0.09,0.10,0.00,0.10,Matches
831,Joe Willis,us USA,GK,Nashville SC,34,1988,32,32,2880,32.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
832,Danny Wilson,sct SCO,DF,Colorado Rapids,31,1991,29,25,2315,25.7,1,1,2,1,0,0,5,0,1.5,1.5,1.0,2.5,5,78,0,0.04,0.04,0.08,0.04,0.08,0.06,0.04,0.10,0.06,0.10,Matches
833,Owen Wolff,us USA,MF,Austin,18,2004,27,21,1882,20.9,2,2,4,2,0,0,3,0,0.8,0.8,0.9,1.7,31,78,51,0.10,0.10,0.19,0.10,0.19,0.04,0.04,0.08,0.04,0.08,Matches
834,Tyler Wolff,us USA,FWMF,Atlanta Utd,19,2003,18,6,649,7.2,5,1,6,5,0,0,3,0,2.5,2.5,0.8,3.3,14,24,43,0.69,0.14,0.83,0.69,0.83,0.35,0.12,0.46,0.35,0.46,Matches
835,Bobby Wood,us USA,FW,NE Revolution,30,1992,29,19,1483,16.5,7,5,12,7,0,0,4,0,5.4,5.4,0.9,6.2,10,22,87,0.42,0.30,0.73,0.42,0.73,0.33,0.05,0.38,0.33,0.38,Matches
836,Karifa Yao,ca CAN,MF,Vancouver W'caps,22,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
837,Darren Yapi,us USA,FWMF,Colorado Rapids,18,2004,20,8,891,9.9,0,1,1,0,0,0,3,0,2.3,2.3,1.6,3.9,11,9,46,0.00,0.10,0.10,0.00,0.10,0.23,0.16,0.39,0.23,0.39,Matches
838,William Yarbrough,us USA,GK,Colorado Rapids,33,1989,20,20,1800,20.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
839,Joshua Yaro,gh GHA,DF,St. Louis,28,1994,16,9,907,10.1,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,3,29,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
840,Dru Yearwood,eng ENG,MF,NY Red Bulls,22,2000,20,11,826,9.2,0,0,0,0,0,0,4,0,0.3,0.3,1.1,1.4,16,40,29,0.00,0.00,0.00,0.00,0.00,0.03,0.12,0.15,0.03,0.15,Matches
841,Yaw Yeboah,gh GHA,DFMF,Columbus Crew,25,1997,31,22,1982,22.0,3,4,7,3,0,0,3,0,3.6,3.6,4.4,8.0,70,83,241,0.14,0.18,0.32,0.14,0.32,0.16,0.20,0.37,0.16,0.37,Matches
842,DeAndre Yedlin,us USA,DF,Inter Miami,29,1993,28,25,2320,25.8,0,2,2,0,0,0,7,0,0.1,0.1,1.0,1.1,37,79,127,0.00,0.08,0.08,0.00,0.08,0.00,0.04,0.04,0.00,0.04,Matches
843,Maya Yoshida,jp JPN,DF,LA Galaxy,34,1988,12,12,1080,12.0,1,1,2,1,0,0,3,0,0.7,0.7,0.1,0.8,0,23,1,0.08,0.08,0.17,0.08,0.17,0.05,0.01,0.06,0.05,0.06,Matches
844,Jackson Yueill,us USA,MF,SJ Earthquakes,25,1997,31,31,2716,30.2,1,4,5,1,0,0,6,0,1.6,1.6,2.2,3.8,32,221,49,0.03,0.13,0.17,0.03,0.17,0.05,0.07,0.13,0.05,0.13,Matches
845,Gyasi Zardes,us USA,FW,Austin,31,1991,28,17,1465,16.3,6,2,8,6,0,0,3,0,5.0,5.0,1.8,6.7,15,27,62,0.37,0.12,0.49,0.37,0.49,0.31,0.11,0.41,0.31,0.41,Matches
846,Eriq Zavaleta,sv SLV,DF,LA Galaxy,30,1992,11,4,487,5.4,2,0,2,2,0,0,1,0,0.6,0.6,0.0,0.6,1,9,0,0.37,0.00,0.37,0.37,0.37,0.12,0.00,0.12,0.12,0.12,Matches
847,Sean Zawadzki,us USA,DFMF,Columbus Crew,22,2000,30,15,1578,17.5,3,0,3,3,0,0,6,0,0.9,0.9,0.2,1.1,18,78,8,0.17,0.00,0.17,0.17,0.17,0.05,0.01,0.06,0.05,0.06,Matches
848,Lucas Zelarayán,am ARM,MFFW,Columbus Crew,30,1992,20,20,1702,18.9,10,6,16,8,2,2,4,0,6.7,5.1,5.1,10.2,79,175,140,0.53,0.32,0.85,0.42,0.74,0.35,0.27,0.62,0.27,0.54,Matches
849,Walker Zimmerman,us USA,DF,Nashville SC,29,1993,24,22,1841,20.5,2,1,3,2,0,0,5,1,1.6,1.6,1.4,3.0,0,43,17,0.10,0.05,0.15,0.10,0.15,0.08,0.07,0.15,0.08,0.15,Matches
850,Rida Zouhir,ca CAN,MFFW,CF Montréal,19,2003,5,1,221,2.5,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,4,5,5,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,Matches
Rk
851,Ethan Zubak,us USA,FW,Nashville SC,24,1998,9,0,141,1.6,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,3,4,14,0.00,0.00,0.00,0.00,0.00,0.26,0.07,0.33,0.26,0.33,Matches
852,Dario Župarić,ba BIH,DF,Portland Timbers,30,1992,31,31,2790,31.0,1,1,2,1,0,0,10,0,0.7,0.7,0.3,1.0,9,75,6,0.03,0.03,0.06,0.03,0.06,0.02,0.01,0.03,0.02,0.03,Matches
853,Graham Zusi,us USA,DF,Sporting KC,36,1986,14,9,865,9.6,0,1,1,0,0,0,0,0,0.2,0.2,1.3,1.5,21,66,36,0.00,0.10,0.10,0.00,0.10,0.02,0.13,0.16,0.02,0.16,Matches
854,Nökkvi Þórisson,is ISL,FWMF,St. Louis,23,1999,9,1,268,3.0,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.4,7,5,16,0.34,0.00,0.34,0.34,0.34,0.11,0.01,0.12,0.11,0.12,Matches
855,Róbert Þorkelsson,is ISL,DF,CF Montréal,20,2002,9,2,226,2.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,10,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
