rank,team,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,notes
1, Seattle Sounders,3,2,0,1,4,3,+1,6,2.00,4.9,3.2,+1.7,+0.55,→ Conference Semifinals 
2, FC Dallas,3,1,0,2,3,4,-1,3,1.00,3.2,4.9,-1.7,-0.55,
