ranker,player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
36,José Andrés Martínez,ve VEN,MF,Philadelphia Union,28,1994,20.3,52,30,30,19,3,31,56,55.4,25,26,10,16,33,85,18,1,Matches
37,Iván Angulo,co COL,FWDF,Orlando City,23,1999,27.6,32,17,17,10,5,14,36,38.9,22,32,3,29,17,49,19,0,Matches
38,Marco Angulo,ec ECU,MF,FC Cincinnati,20,2002,8.7,20,15,10,8,2,9,16,56.3,7,12,1,11,14,34,5,2,Matches
39,Eugene Ansah,gh GHA,FW,FC Dallas,28,1994,2.0,2,2,1,1,0,0,1,0.0,1,4,0,4,1,3,1,0,Matches
40,Themi Antonoglou,ca CAN,DFMF,Toronto FC,21,2001,5.3,10,5,2,6,2,6,15,40.0,9,7,1,6,5,15,9,0,Matches
41,Antony,br BRA,FWMF,Portland Timbers,21,2001,2.8,4,3,1,3,0,3,10,30.0,7,4,0,4,3,7,1,0,Matches
42,Brian Anunga,cm CMR,MF,Nashville SC,26,1996,6.3,14,10,7,6,1,8,17,47.1,9,6,3,3,11,25,4,0,Matches
43,Cristian Arango,co COL,FW,Real Salt Lake,27,1995,8.4,11,8,2,3,6,5,8,62.5,3,7,1,6,2,13,8,0,Matches
44,César Araujo,uy URU,MF,Orlando City,21,2001,30.3,51,31,20,23,8,29,91,31.9,62,40,7,33,23,74,31,0,Matches
45,Luiz Araújo,br BRA,FW,Atlanta Utd,26,1996,14.1,20,12,7,12,1,7,20,35.0,13,7,0,7,8,28,1,0,Matches
46,Miguel Araujo,pe PER,DF,Portland Timbers,28,1994,1.9,4,2,1,2,1,2,2,100.0,0,1,1,0,2,6,1,0,Matches
47,Scott Arfield,ca CAN,MFFW,Charlotte,34,1988,4.6,2,2,0,1,1,0,4,0.0,4,9,1,8,3,5,4,0,Matches
48,Maximilian Arfsten,us USA,DFMF,Columbus Crew,21,2001,3.1,7,3,4,3,0,5,9,55.6,4,0,0,0,7,14,2,0,Matches
49,Santiago Arias,co COL,DF,FC Cincinnati,31,1992,18.4,37,26,15,15,7,14,29,48.3,15,19,3,16,29,66,25,0,Matches
50,Xavier Arreaga,ec ECU,DFMF,Seattle Sounders,28,1994,3.9,6,6,4,2,0,3,4,75.0,1,2,1,1,1,7,6,0,Matches
Rk
51,Kervin Arriaga,hn HON,MF,Minnesota Utd,25,1998,13.0,16,10,7,9,0,5,19,26.3,14,14,5,9,14,30,29,3,Matches
52,Paul Arriola,us USA,FWMF,FC Dallas,27,1995,18.4,22,16,7,11,4,11,28,39.3,17,9,1,8,10,32,9,0,Matches
53,Dixon Arroyo,ec ECU,MF,Inter Miami,30,1992,19.9,41,32,19,19,3,20,62,32.3,42,29,8,21,27,68,24,0,Matches
54,Artur,br BRA,MF,Houston Dynamo,26,1996,30.3,70,44,35,27,8,27,53,50.9,26,33,11,22,44,114,42,0,Matches
55,Yamil Asad,ar ARG,MFFW,D.C. United,28,1994,5.8,10,4,1,6,3,5,23,21.7,18,9,0,9,4,14,3,1,Matches
56,Dairon Asprilla,co COL,FWMF,Portland Timbers,30,1992,16.1,23,14,9,8,6,8,26,30.8,18,18,0,18,10,33,13,0,Matches
57,Joshua Atencio,us USA,MF,Seattle Sounders,21,2002,10.9,41,28,12,21,8,21,38,55.3,17,15,2,13,16,57,14,0,Matches
