ranker,player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
180,Cam Cilley,us USA,FWMF,SJ Earthquakes,22,2000,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
181,Abdoulaye Cissoko,fr FRA,DF,Seattle Sounders,23,1999,1.0,1,0,0,0,1,0,0,,0,0,0,0,0,1,1,0,Matches
182,Steve Clark,us USA,GK,Houston Dynamo,36,1986,33.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,10,0,Matches
183,Stefan Cleveland,us USA,GK,Seattle Sounders,28,1994,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
184,Noah Cobb,us USA,DF,Atlanta Utd,17,2005,2.2,2,1,1,1,0,1,2,50.0,1,2,1,1,0,2,9,0,Matches
185,Alonso Coello,es ESP,MF,Toronto FC,23,1999,14.3,59,40,38,16,5,29,57,50.9,28,15,1,14,18,77,14,0,Matches
186,Jackson Conway,us USA,FW,Atlanta Utd,21,2001,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
187,Enzo Copetti,ar ARG,FW,Charlotte,27,1996,22.0,8,3,1,3,4,1,20,5.0,19,14,2,12,5,13,20,0,Matches
188,Gabriele Corbo,it ITA,DF,CF Montréal,23,2000,25.4,31,18,19,11,1,23,49,46.9,26,26,15,11,32,63,86,2,Matches
189,Sergio Córdova,ve VEN,FWMF,Vancouver W'caps,25,1997,9.4,13,11,3,9,1,4,7,57.1,3,6,1,5,1,14,11,0,Matches
190,Carlos Coronel,py PAR,GK,NY Red Bulls,26,1996,34.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,21,5,Matches
191,Guzmán Corujo,uy URU,DF,Charlotte,26,1996,3.9,9,8,7,2,0,7,8,87.5,1,3,2,1,5,14,14,1,Matches
192,Douglas Costa,br BRA,FWMF,LA Galaxy,32,1990,13.5,9,6,3,4,2,4,18,22.2,14,13,0,13,8,17,5,0,Matches
193,Séga Coulibaly,fr FRA,DF,LA Galaxy,26,1996,1.0,3,2,2,1,0,2,4,50.0,2,0,0,0,0,3,2,0,Matches
194,Cade Cowell,us USA,FW,SJ Earthquakes,19,2003,17.1,15,9,5,6,4,9,20,45.0,11,20,2,18,6,21,6,0,Matches
195,Ben Cremaschi,us USA,MFFW,Inter Miami,17,2005,19.9,44,28,17,19,8,27,77,35.1,50,23,2,21,14,58,14,1,Matches
196,Maxime Crépeau,ca CAN,GK,LAFC,28,1994,7.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
197,Daniel Crisostomo,us USA,MF,LAFC,26,1997,3.1,5,5,2,2,1,0,6,0.0,6,1,1,0,5,10,3,0,Matches
198,Andrés Cubas,py PAR,MF,Vancouver W'caps,26,1996,23.8,65,40,27,37,1,27,67,40.3,40,39,8,31,50,115,26,0,Matches
199,Cucho,co COL,FW,Columbus Crew,23,1999,26.3,24,11,6,10,8,11,28,39.3,17,20,1,19,10,34,7,0,Matches
200,Mauricio Cuevas,us USA,DF,LA Galaxy,19,2003,4.7,8,5,3,5,0,4,15,26.7,11,2,0,2,5,13,13,0,Matches
Rk
201,Braian Cufré,ar ARG,DF,NYCFC,26,1996,20.7,39,25,18,19,2,18,33,54.5,15,30,4,26,17,56,37,0,Matches
202,Antony Curic,ca CAN,DF,Toronto FC,22,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
203,Rafael Czichos,de GER,DF,Chicago Fire,32,1990,27.9,48,34,33,13,2,24,39,61.5,15,35,18,17,44,92,103,1,Matches
204,Cristián Dajome,co COL,FWDF,D.C. United,29,1994,8.7,14,10,6,7,1,4,19,21.1,15,5,1,4,4,18,5,0,Matches
205,Cristián Dajome,co COL,MFFW,Vancouver W'caps,29,1994,3.3,6,3,4,0,2,3,7,42.9,4,2,0,2,4,10,1,0,Matches
206,Dagur Dan Þórhallsson,is ISL,DFMF,Orlando City,22,2000,13.4,11,9,7,4,0,4,14,28.6,10,12,2,10,9,20,20,0,Matches
207,Daniel,br BRA,GK,SJ Earthquakes,28,1994,21.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,10,0,Matches
208,Jesús Daniel Bueno,ve VEN,MF,Philadelphia Union,23,1999,10.7,37,21,12,23,2,18,37,48.6,19,17,1,16,17,54,17,1,Matches
209,Juan David Mosquera,co COL,DF,Portland Timbers,20,2002,26.7,38,27,20,9,9,14,39,35.9,25,17,1,16,18,56,35,0,Matches
210,Jesús David Murillo,co COL,DF,LAFC,28,1994,15.8,29,15,19,10,0,17,31,54.8,14,20,8,12,19,48,59,0,Matches
211,Bode Davis,us USA,DF,Real Salt Lake,20,2002,13.1,22,15,14,6,2,12,22,54.5,10,15,4,11,15,37,25,0,Matches
212,Erick Davis,pa PAN,DF,D.C. United,31,1991,6.0,8,5,3,5,0,6,11,54.5,5,10,2,8,9,17,12,0,Matches
213,Jake Davis,us USA,DF,Sporting KC,21,2002,22.6,67,40,32,29,6,35,79,44.3,44,27,8,19,34,101,53,0,Matches
214,Sean Davis,us USA,MF,Nashville SC,29,1993,20.8,27,13,7,13,7,17,40,42.5,23,34,15,19,30,57,29,0,Matches
215,Jonathan Dean,us USA,DF,Chicago Fire,25,1997,15.3,24,13,15,8,1,12,23,52.2,11,21,5,16,23,47,49,1,Matches
216,Miloš Degenek,au AUS,DF,Columbus Crew,28,1994,9.5,16,10,10,6,0,7,12,58.3,5,15,13,2,15,31,37,1,Matches
217,Brecht Dejaegere,be BEL,FWMF,Charlotte,31,1991,5.3,10,6,2,6,2,4,8,50.0,4,10,0,10,5,15,3,0,Matches
218,Marky Delgado,us USA,MF,LA Galaxy,27,1995,25.7,55,33,19,30,6,26,65,40.0,39,46,10,36,36,91,26,0,Matches
219,Luis Díaz,cr CRC,FW,Colorado Rapids,24,1998,1.0,2,1,2,0,0,1,2,50.0,1,0,0,0,0,2,0,0,Matches
220,Luis Díaz,cr CRC,DFMF,Columbus Crew,24,1998,0.9,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,Matches
221,Bakaye Dibassy,ml MLI,DF,Minnesota Utd,33,1989,5.3,6,3,4,2,0,2,4,50.0,2,6,3,3,3,9,14,0,Matches
222,Adama Diomande,no NOR,FW,Toronto FC,32,1990,1.8,0,0,0,0,0,0,3,0.0,3,1,0,1,0,0,2,0,Matches
223,Clément Diop,sn SEN,GK,Atlanta Utd,29,1993,1.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
224,Hamady Diop,sn SEN,DFMF,Charlotte,20,2002,0.4,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,5,0,Matches
225,Sofiane Djeffal,fr FRA,MF,Austin,23,1999,3.5,5,3,2,2,1,2,5,40.0,3,4,1,3,2,7,5,0,Matches
Rk
226,Ethan Dobbelaere,us USA,FW,Seattle Sounders,20,2002,1.1,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,0,0,Matches
227,Ronald Donkor,ml MLI,MFDF,NY Red Bulls,18,2004,0.5,3,2,0,3,0,0,0,,0,0,0,0,1,4,0,0,Matches
228,Christopher Donovan,us USA,FW,Philadelphia Union,22,2000,4.3,5,4,0,4,1,4,12,33.3,8,5,1,4,2,7,2,0,Matches
229,Griffin Dorsey,us USA,DF,Houston Dynamo,23,1999,11.4,14,10,8,4,2,4,8,50.0,4,13,3,10,13,27,34,0,Matches
230,C.J. dos Santos,us USA,GK,Inter Miami,22,2000,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
231,Hassani Dotson,us USA,MFFW,Minnesota Utd,25,1997,28.6,65,34,21,33,11,27,47,57.4,20,48,9,39,32,97,50,0,Matches
232,Ousmane Doumbia,ci CIV,MF,Chicago Fire,30,1992,9.0,19,11,11,7,1,9,23,39.1,14,10,3,7,15,34,7,1,Matches
233,Sebastián Driussi,ar ARG,MFFW,Austin,26,1996,25.6,34,23,12,16,6,11,33,33.3,22,29,6,23,8,42,33,0,Matches
234,Erik Duenas,us USA,MFDF,LAFC,18,2004,8.4,29,14,10,15,4,19,40,47.5,21,13,1,12,13,42,6,0,Matches
235,Bryce Duke,us USA,MF,Inter Miami,21,2001,4.9,9,3,4,5,0,5,6,83.3,1,3,0,3,7,16,0,0,Matches
236,Bryce Duke,us USA,MFFW,CF Montréal,21,2001,16.3,24,13,6,14,4,14,24,58.3,10,13,0,13,15,39,2,0,Matches
237,Cameron Duke,us USA,DF,Sporting KC,21,2001,1.5,5,3,4,1,0,1,4,25.0,3,0,0,0,5,10,3,0,Matches
238,Cameron Dunbar,us USA,MFFW,Minnesota Utd,20,2002,1.3,2,0,1,1,0,1,3,33.3,2,0,0,0,2,4,2,0,Matches
239,Kyle Duncan,us USA,DF,NY Red Bulls,25,1997,20.5,54,38,21,19,14,37,54,68.5,17,37,4,33,30,84,32,0,Matches
240,Chris Durkin,us USA,MF,D.C. United,22,2000,21.9,46,34,16,22,8,25,47,53.2,22,26,7,19,21,67,27,1,Matches
241,Jeremy Ebobisse,us USA,FW,SJ Earthquakes,25,1997,32.9,16,9,3,9,4,6,25,24.0,19,10,3,7,14,30,13,0,Matches
242,Daniel Edelman,us USA,MF,NY Red Bulls,19,2003,20.6,46,24,11,27,8,27,59,45.8,32,32,2,30,27,73,22,0,Matches
243,Earl Edwards Jr.,us USA,GK,NE Revolution,31,1992,10.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,1,Matches
244,Raheem Edwards,ca CAN,DF,LA Galaxy,27,1995,20.8,58,33,32,18,8,33,63,52.4,30,31,5,26,24,82,45,1,Matches
245,Jack Elliott,eng ENG,DF,Philadelphia Union,27,1995,31.0,41,23,27,13,1,21,40,52.5,19,40,20,20,46,87,125,0,Matches
246,Herbert Endeley,us USA,MFFW,FC Dallas,21,2001,2.4,4,4,3,0,1,3,5,60.0,2,2,0,2,1,5,3,0,Matches
247,Emeka Eneli,us USA,DFMF,Real Salt Lake,23,1999,14.7,24,12,10,8,6,13,28,46.4,15,22,6,16,13,37,17,0,Matches
248,Ramiro Enrique,ar ARG,FW,Orlando City,21,2001,11.5,12,6,5,3,4,3,6,50.0,3,7,0,7,4,16,13,0,Matches
249,Franco Escobar,ar ARG,DF,Houston Dynamo,27,1995,24.7,72,49,43,22,7,42,62,67.7,20,31,8,23,35,107,37,0,Matches
250,Cristian Espinoza,ar ARG,FWMF,SJ Earthquakes,27,1995,33.7,47,33,22,11,14,22,84,26.2,62,37,2,35,21,68,23,0,Matches
Rk
251,Roger Espinoza,hn HON,MF,Sporting KC,36,1986,8.1,17,8,7,10,0,10,21,47.6,11,8,1,7,8,25,9,0,Matches
252,Derrick Etienne,ht HAI,FWMF,Atlanta Utd,26,1996,11.6,10,8,2,5,3,6,21,28.6,15,6,0,6,5,15,2,0,Matches
253,Evander,br BRA,MFFW,Portland Timbers,24,1998,24.5,22,11,9,8,5,14,53,26.4,39,20,2,18,14,36,5,0,Matches
254,Diego Fagúndez,uy URU,FWMF,Austin,27,1995,11.4,12,7,5,6,1,3,14,21.4,11,9,0,9,3,15,11,0,Matches
255,Diego Fagúndez,uy URU,FWMF,LA Galaxy,27,1995,6.4,12,7,5,4,3,5,9,55.6,4,8,3,5,1,13,5,0,Matches
256,José Fajardo,pa PAN,FWMF,D.C. United,29,1993,2.7,4,1,2,2,0,0,1,0.0,1,1,0,1,0,4,0,0,Matches
257,Mamadou Fall,sn SEN,DF,LAFC,20,2002,1.0,1,0,1,0,0,0,2,0.0,2,0,0,0,2,3,3,0,Matches
258,Marco Farfan,us USA,DF,FC Dallas,24,1998,29.8,48,26,34,10,4,33,60,55.0,27,33,12,21,29,77,54,0,Matches
259,Jordan Faria,ca CAN,FW,Toronto FC,22,2000,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
260,Facundo Farías,ar ARG,FWMF,Inter Miami,20,2002,9.3,5,4,1,2,2,3,7,42.9,4,3,0,3,0,5,0,0,Matches
261,Andrew Farrell,us USA,DF,NE Revolution,30,1992,21.5,28,18,20,8,0,17,35,48.6,18,32,23,9,24,52,67,1,Matches
262,Mohamed Farsi,dz ALG,DFMF,Columbus Crew,23,1999,24.0,30,21,17,7,6,16,25,64.0,9,31,5,26,16,46,32,0,Matches
263,Felipe,br BRA,MF,Orlando City,32,1990,6.3,9,6,1,8,0,4,14,28.6,10,3,2,1,8,17,7,0,Matches
264,Julián Fernández,ar ARG,FWMF,NYCFC,19,2004,3.6,7,5,2,5,0,6,12,50.0,6,10,0,10,2,9,0,0,Matches
265,Omir Fernandez,us USA,MFFW,NY Red Bulls,23,1999,19.4,30,17,11,10,9,16,37,43.2,21,23,2,21,8,38,9,0,Matches
266,Jesús Ferreira,us USA,FW,FC Dallas,22,2000,25.2,30,14,13,10,7,11,30,36.7,19,6,0,6,14,44,16,0,Matches
267,Sebastián Ferreira,py PAR,FW,Houston Dynamo,24,1998,3.4,5,2,1,3,1,3,7,42.9,4,1,0,1,0,5,0,0,Matches
268,Ethan Finlay,us USA,FWMF,Austin,32,1990,18.8,26,14,13,10,3,11,26,42.3,15,22,2,20,7,33,12,0,Matches
269,Nicolas Firmino,us USA,MF,Atlanta Utd,22,2001,0.0,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
270,Leon Flach,us USA,MF,Philadelphia Union,21,2001,19.9,35,19,12,19,4,15,39,38.5,24,28,6,22,32,67,22,0,Matches
271,Kristian Fletcher,us USA,FWMF,D.C. United,17,2005,1.5,2,2,0,2,0,1,5,20.0,4,0,0,0,0,2,0,0,Matches
272,Danny Flores,us USA,MF,Sporting KC,20,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
273,CJ Fodrey,us USA,DFFW,Austin,18,2004,0.4,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
274,Nathan Fogaça,br BRA,FW,Portland Timbers,23,1999,6.3,4,4,2,1,1,0,7,0.0,7,5,0,5,1,5,3,0,Matches
275,Andreu Fontàs,es ESP,DF,Sporting KC,33,1989,26.6,55,35,31,20,4,30,56,53.6,26,32,16,16,40,95,76,1,Matches
Rk
276,Ajani Fortune,tt TRI,MF,Atlanta Utd,20,2002,4.2,8,2,2,5,1,3,7,42.9,4,3,2,1,4,12,5,1,Matches
277,Taxiarchis Fountas,gr GRE,FWMF,D.C. United,27,1995,12.2,15,7,3,9,3,6,22,27.3,16,16,1,15,5,20,1,0,Matches
278,Franco Fragapane,ar ARG,MFFW,Minnesota Utd,29,1993,14.8,21,12,10,7,4,13,27,48.1,14,13,0,13,11,32,3,0,Matches
279,Iván Franco,py PAR,FWMF,Houston Dynamo,22,2000,11.8,20,11,9,6,5,7,31,22.6,24,17,1,16,5,25,7,0,Matches
280,Kobe Franklin,ca CAN,DFMF,Toronto FC,19,2003,24.1,55,32,30,19,6,37,61,60.7,24,29,9,20,31,86,67,1,Matches
281,Liam Fraser,ca CAN,MF,FC Dallas,24,1998,4.1,6,5,1,2,3,4,7,57.1,3,6,3,3,6,12,4,0,Matches
282,Ian Fray,us USA,DFMF,Inter Miami,20,2002,7.3,18,9,10,7,1,12,19,63.2,7,11,4,7,9,27,16,1,Matches
283,Alexander Freeman,us USA,DF,Orlando City,18,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
284,Matt Freese,us USA,GK,NYCFC,24,1998,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
285,Stefan Frei,ch SUI,GK,Seattle Sounders,36,1986,32.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,10,2,Matches
286,Ray Gaddis,us USA,DF,FC Cincinnati,33,1990,13.9,25,17,13,8,4,15,21,71.4,6,23,4,19,13,38,19,2,Matches
287,Julian Gaines,us USA,DF,LAFC,20,2002,0.7,2,0,1,1,0,2,4,50.0,2,1,0,1,0,2,1,0,Matches
288,McKinze Gaines,us USA,FWMF,Charlotte,24,1998,8.2,8,5,4,1,3,1,9,11.1,8,4,1,3,2,10,2,0,Matches
289,Jon Gallagher,ie IRL,DFMF,Austin,26,1996,31.0,40,24,18,14,8,21,42,50.0,21,27,6,21,22,62,45,1,Matches
290,Pedro Gallese,pe PER,GK,Orlando City,32,1990,30.0,1,1,1,0,0,0,0,,0,1,0,1,0,1,10,1,Matches
291,Braian Galván,ar ARG,FWDF,Colorado Rapids,22,2000,7.4,6,2,2,3,1,4,8,50.0,4,5,1,4,8,14,3,0,Matches
292,Mender García,co COL,FWMF,Minnesota Utd,24,1998,11.4,12,7,4,4,4,4,12,33.3,8,12,0,12,4,16,1,0,Matches
293,Chase Gasper,us USA,DF,Houston Dynamo,27,1996,2.3,2,1,1,0,1,2,5,40.0,3,2,0,2,1,3,8,0,Matches
294,Ryan Gauld,sct SCO,FWMF,Vancouver W'caps,27,1995,29.2,64,39,15,30,19,16,46,34.8,30,37,2,35,16,80,15,0,Matches
295,Luka Gavran,ca CAN,GK,Toronto FC,22,2000,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
296,Dániel Gazdag,hu HUN,MF,Philadelphia Union,26,1996,30.3,30,13,10,15,5,16,45,35.6,29,17,2,15,9,39,7,0,Matches
297,Geovane,br BRA,DF,FC Dallas,21,2001,11.0,15,10,8,5,2,11,20,55.0,9,15,6,9,15,30,42,0,Matches
298,Alex Gersbach,au AUS,DFMF,Colorado Rapids,25,1997,2.9,5,2,1,2,2,3,5,60.0,2,6,1,5,6,11,10,0,Matches
299,Giorgos Giakoumakis,gr GRE,FW,Atlanta Utd,28,1994,19.8,23,16,5,9,9,10,30,33.3,20,20,4,16,2,25,34,0,Matches
300,Carles Gil,es ESP,MF,NE Revolution,30,1992,29.1,22,19,8,11,3,12,36,33.3,24,12,1,11,14,36,5,0,Matches
Rk
301,Nacho Gil,es ESP,FWDF,NE Revolution,27,1995,5.8,10,7,1,7,2,2,7,28.6,5,3,1,2,4,14,3,0,Matches
302,Gastón Giménez,py PAR,MF,Chicago Fire,31,1991,24.4,57,40,18,32,7,29,51,56.9,22,46,17,29,28,85,25,1,Matches
303,Nicholas Gioacchini,us USA,FWMF,St. Louis,22,2000,23.3,24,15,7,11,6,5,15,33.3,10,28,4,24,10,34,14,0,Matches
304,Justen Glad,us USA,DF,Real Salt Lake,25,1997,30.2,39,25,25,13,1,22,35,62.9,13,37,26,11,50,89,120,1,Matches
305,Jakob Glesnes,no NOR,DF,Philadelphia Union,28,1994,31.0,48,27,28,15,5,23,48,47.9,25,44,26,18,46,94,90,1,Matches
306,Caden Glover,us USA,MF,St. Louis,15,2007,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
307,Aníbal Godoy,pa PAN,MF,Nashville SC,32,1990,18.5,31,16,10,15,6,11,18,61.1,7,19,5,14,20,51,15,0,Matches
308,Yeimar Gómez Andrade,co COL,DF,Seattle Sounders,30,1992,32.1,48,30,34,14,0,23,46,50.0,23,31,19,12,73,121,143,0,Matches
309,Carlos Gómez,co COL,MFFW,Real Salt Lake,20,2002,15.5,27,22,12,9,6,10,32,31.3,22,22,2,20,8,35,3,0,Matches
310,Diego Gómez,py PAR,MFFW,Inter Miami,19,2003,4.6,13,6,4,5,4,7,14,50.0,7,7,1,6,5,18,1,0,Matches
311,Gaston Gonzalez,ar ARG,FWDF,Orlando City,21,2001,8.0,13,9,8,3,2,8,15,53.3,7,8,2,6,5,18,10,0,Matches
312,Mario González,es ESP,FW,LAFC,26,1996,4.3,1,0,0,0,1,0,0,,0,2,0,2,0,1,3,0,Matches
313,Omar Gonzalez,us USA,DF,NE Revolution,34,1988,9.6,6,4,2,3,1,2,6,33.3,4,14,11,3,5,11,53,0,Matches
314,Zavier Gozo,us USA,FW,Real Salt Lake,15,2007,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
315,Alejandro Granados,es ESP,FW,Orlando City,16,2006,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
316,Tayvon Gray,jm JAM,DF,NYCFC,20,2002,22.7,39,21,22,11,6,20,28,71.4,8,24,8,16,27,66,74,0,Matches
317,Jacob Greene,us USA,DF,D.C. United,19,2003,5.4,13,7,11,1,1,11,17,64.7,6,8,4,4,2,15,18,0,Matches
318,Gregore,br BRA,MF,Inter Miami,28,1994,4.3,7,5,3,2,2,6,12,50.0,6,7,1,6,3,10,5,0,Matches
319,Ján Greguš,sk SVK,MF,Nashville SC,32,1991,2.5,15,9,10,5,0,7,13,53.8,6,2,0,2,4,19,1,0,Matches
320,Ján Greguš,sk SVK,MF,Minnesota Utd,32,1991,10.0,10,7,1,9,0,5,10,50.0,5,3,0,3,8,18,10,0,Matches
321,Julian Gressel,us USA,DFMF,Columbus Crew,29,1993,8.2,17,11,5,8,4,11,20,55.0,9,9,1,8,6,23,8,0,Matches
322,Julian Gressel,us USA,MF,Vancouver W'caps,29,1993,15.1,23,10,8,13,2,15,33,45.5,18,15,3,12,14,37,12,0,Matches
323,Victor Griffith,pa PAN,MF,Portland Timbers,22,2000,1.0,0,0,0,0,0,0,0,,0,2,0,2,0,0,3,0,Matches
324,Carlos Gruezo,ec ECU,MF,SJ Earthquakes,27,1995,23.9,40,25,13,21,6,21,49,42.9,28,31,9,22,25,65,31,0,Matches
325,Brian Gutiérrez,us USA,FWMF,Chicago Fire,19,2003,26.5,45,22,18,22,5,14,49,28.6,35,29,3,26,8,53,11,1,Matches
Rk
326,Cristián Gutiérrez,cl CHI,DF,Toronto FC,25,1997,2.7,2,0,1,1,0,2,4,50.0,2,4,0,4,5,7,2,0,Matches
327,Diego Gutierrez,us USA,FWMF,Portland Timbers,23,1999,2.7,2,1,2,0,0,1,3,33.3,2,0,0,0,3,5,2,0,Matches
328,Felipe Gutiérrez,cl CHI,MF,Sporting KC,32,1990,3.3,8,5,2,6,0,2,6,33.3,4,1,0,1,3,11,3,0,Matches
329,Andrew Gutman,us USA,DF,Atlanta Utd,26,1996,15.4,31,18,17,11,3,20,34,58.8,14,20,9,11,13,44,30,0,Matches
330,Andrew Gutman,us USA,DF,Colorado Rapids,26,1996,11.2,21,15,12,8,1,16,27,59.3,11,13,3,10,15,36,31,0,Matches
331,Brad Guzan,us USA,GK,Atlanta Utd,38,1984,27.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,2,Matches
332,Justin Haak,us USA,DFMF,NYCFC,21,2001,10.1,11,8,7,4,0,7,12,58.3,5,9,4,5,20,31,36,2,Matches
333,Luke Haakenson,us USA,MFFW,Nashville SC,25,1997,3.0,5,2,2,2,1,2,7,28.6,5,2,1,1,2,7,2,0,Matches
334,Teenage Hadebe,zw ZIM,DF,Houston Dynamo,27,1995,11.5,9,5,7,2,0,4,14,28.6,10,22,19,3,13,22,57,1,Matches
335,Nick Hagglund,us USA,DF,FC Cincinnati,30,1992,23.9,28,18,16,10,2,14,24,58.3,10,24,12,12,32,60,114,0,Matches
336,Maren Haile-Selassie,ch SUI,FWDF,Chicago Fire,23,1999,21.2,29,19,7,15,7,12,23,52.2,11,13,1,12,18,47,15,0,Matches
337,Julian Hall,us USA,FW,NY Red Bulls,14,2008,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
338,Michael Halliday,us USA,DF,Orlando City,20,2003,9.5,20,10,15,4,1,12,20,60.0,8,17,3,14,9,29,33,0,Matches
339,Bret Halsey,us USA,DF,FC Cincinnati,22,2000,2.6,6,5,4,1,1,4,9,44.4,5,3,1,2,1,7,4,0,Matches
340,Ahmed Hamdi,eg EGY,MFFW,CF Montréal,24,1998,5.3,16,5,7,7,2,3,11,27.3,8,7,0,7,1,17,4,0,Matches
341,Yosuke Hanya,jp JPN,FWMF,Colorado Rapids,24,1999,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
342,Ian Harkes,us USA,MF,NE Revolution,27,1995,6.7,12,2,8,4,0,4,10,40.0,6,5,0,5,9,21,4,0,Matches
343,Cameron Harper,us USA,DFMF,NY Red Bulls,21,2001,23.9,40,30,14,17,9,25,63,39.7,38,37,3,34,11,51,27,1,Matches
344,Nathan Harriel,us USA,DF,Philadelphia Union,21,2001,18.6,42,34,20,14,8,23,39,59.0,16,33,5,28,44,86,49,1,Matches
345,Calvin Harris,eng ENG,FW,Colorado Rapids,22,2000,10.0,12,6,2,9,1,6,8,75.0,2,7,1,6,5,17,9,0,Matches
346,Thomas Hasal,ca CAN,GK,Vancouver W'caps,23,1999,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
347,Héber,br BRA,FWMF,Seattle Sounders,31,1991,11.8,6,6,0,4,2,2,12,16.7,10,8,0,8,0,6,2,0,Matches
348,Matt Hedges,us USA,DF,Toronto FC,32,1990,11.9,18,11,14,3,1,10,17,58.8,7,13,7,6,18,36,57,0,Matches
349,Matt Hedges,us USA,DF,Austin,32,1990,3.4,2,1,1,1,0,0,2,0.0,2,4,3,1,3,5,14,0,Matches
350,Chris Hegardt,us USA,FWMF,Charlotte,21,2002,0.6,2,1,0,2,0,0,0,,0,0,0,0,0,2,0,0,Matches
Rk
351,Fabian Herbers,de GER,MFFW,Chicago Fire,29,1993,21.9,42,31,15,24,3,18,39,46.2,21,24,6,18,18,60,20,0,Matches
352,Felipe Hernandez,us USA,MF,Sporting KC,24,1998,3.6,11,6,2,8,1,7,14,50.0,7,5,0,5,4,15,1,0,Matches
353,Javier Hernández,mx MEX,FW,LA Galaxy,34,1988,7.6,2,1,0,1,1,1,3,33.3,2,1,0,1,4,6,2,0,Matches
354,Ronald Hernández,ve VEN,DF,Atlanta Utd,25,1997,7.8,14,8,7,7,0,10,19,52.6,9,7,2,5,9,23,13,0,Matches
355,Aaron Herrera,gt GUA,DFMF,CF Montréal,25,1997,15.6,30,21,14,11,5,7,19,36.8,12,20,5,15,14,44,31,0,Matches
356,Héctor Herrera,mx MEX,MF,Houston Dynamo,32,1990,28.1,55,37,20,26,9,20,52,38.5,32,48,12,36,19,74,16,0,Matches
357,Kyle Hiebert,ca CAN,DF,St. Louis,25,1997,23.6,45,24,22,18,5,27,43,62.8,16,41,13,28,29,74,95,0,Matches
358,Brendan Hines-Ike,us USA,DF,D.C. United,28,1994,10.4,12,9,9,3,0,5,10,50.0,5,14,11,3,11,23,46,1,Matches
359,Bongokuhle Hlongwane,za RSA,FW,Minnesota Utd,22,2000,27.6,48,35,18,21,9,17,40,42.5,23,54,5,49,26,74,26,0,Matches
360,Junior Hoilett,ca CAN,FWMF,Vancouver W'caps,32,1990,2.6,3,2,0,1,2,2,4,50.0,2,2,0,2,3,6,0,0,Matches
361,Ryan Hollingshead,us USA,DF,LAFC,31,1991,26.1,73,51,38,23,12,41,72,56.9,31,36,8,28,43,116,53,0,Matches
362,Erik Holt,us USA,DF,Real Salt Lake,26,1996,0.6,1,1,1,0,0,0,1,0.0,1,0,0,0,2,3,3,0,Matches
363,Jackson Hopkins,us USA,MF,D.C. United,18,2004,2.2,2,1,1,0,1,1,3,33.3,2,0,0,0,2,4,2,0,Matches
364,Matthew Hoppe,us USA,FWMF,SJ Earthquakes,21,2001,4.7,7,5,4,1,2,3,10,30.0,7,3,0,3,1,8,1,0,Matches
365,Keegan Hughes,us USA,DF,Columbus Crew,22,2000,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
366,Erik Hurtado,us USA,FWMF,D.C. United,32,1990,3.0,1,1,0,0,1,1,2,50.0,1,2,0,2,0,1,1,0,Matches
