ranker,player,nationality,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
845,Gyasi Zardes,us USA,FW,Austin,31,1991,16.3,6,30,12,40.0,1.84,0.74,0.20,0.50,10.4,0,0,0,5.0,5.0,0.17,+1.0,+1.0,Matches
846,Eriq Zavaleta,sv SLV,DF,LA Galaxy,30,1992,5.4,2,4,2,50.0,0.74,0.37,0.50,1.00,7.7,0,0,0,0.6,0.6,0.16,+1.4,+1.4,Matches
847,Sean Zawadzki,us USA,DFMF,Columbus Crew,22,2000,17.5,3,14,6,42.9,0.80,0.34,0.21,0.50,13.8,0,0,0,0.9,0.9,0.07,+2.1,+2.1,Matches
848,Lucas Zelarayán,am ARM,MFFW,Columbus Crew,30,1992,18.9,10,64,22,34.4,3.38,1.16,0.13,0.36,23.3,12,2,2,6.7,5.1,0.08,+3.3,+2.9,Matches
849,Walker Zimmerman,us USA,DF,Nashville SC,29,1993,20.5,2,12,4,33.3,0.59,0.20,0.17,0.50,10.5,0,0,0,1.6,1.6,0.14,+0.4,+0.4,Matches
850,Rida Zouhir,ca CAN,MFFW,CF Montréal,19,2003,2.5,0,2,0,0.0,0.81,0.00,0.00,,29.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Rk
851,Ethan Zubak,us USA,FW,Nashville SC,24,1998,1.6,0,2,0,0.0,1.28,0.00,0.00,,7.7,0,0,0,0.4,0.4,0.20,-0.4,-0.4,Matches
852,Dario Župarić,ba BIH,DF,Portland Timbers,30,1992,31.0,1,8,2,25.0,0.26,0.06,0.13,0.50,14.1,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Matches
853,Graham Zusi,us USA,DF,Sporting KC,36,1986,9.6,0,9,2,22.2,0.94,0.21,0.00,0.00,29.3,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
854,Nökkvi Þórisson,is ISL,FWMF,St. Louis,23,1999,3.0,1,5,2,40.0,1.68,0.67,0.20,0.50,18.5,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches
855,Róbert Þorkelsson,is ISL,DF,CF Montréal,20,2002,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
