rank,team,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,notes
1, Sporting KC,2,2,0,0,6,2,+4,6,3.00,2.4,1.9,+0.5,+0.24,→ Conference Semifinals 
2, St. Louis,2,0,0,2,2,6,-4,0,0.00,1.9,2.4,-0.5,-0.24,
