rank,team,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,notes
1, Columbus Crew,3,2,0,1,8,6,+2,6,2.00,5.4,4.6,+0.8,+0.26,→ Conference Semifinals 
2, Atlanta Utd,3,1,0,2,6,8,-2,3,1.00,4.6,5.4,-0.8,-0.26,
