ranker,player,nationality,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,matches
814,Jules-Anthony Vilsaint,ca CAN,FW,CF Montréal,20,2003,4.6,7,1.53,4,0,0,2,0,1,2,0.44,0,0,0,1,0,1,Matches
815,Pedro Vite,ec ECU,MFFW,Vancouver W'caps,20,2002,23.9,64,2.68,56,2,0,2,2,2,5,0.21,5,0,0,0,0,0,Matches
816,Gino Vivi,cr CRC,MFDF,LA Galaxy,22,2000,0.9,1,1.11,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
817,Robert Voloder,ba BIH,DF,Sporting KC,21,2001,11.4,10,0.87,10,0,0,0,0,0,2,0.17,2,0,0,0,0,0,Matches
818,Giacomo Vrioni,al ALB,FW,NE Revolution,24,1998,14.6,20,1.37,13,0,2,2,3,0,4,0.27,2,0,1,1,0,0,Matches
819,Kai Wagner,de GER,DF,Philadelphia Union,25,1997,27.1,102,3.76,42,52,1,2,3,2,8,0.29,3,4,0,1,0,0,Matches
820,Rémi Walter,fr FRA,MF,Sporting KC,27,1995,30.4,59,1.94,51,1,1,2,3,1,7,0.23,5,0,1,1,0,0,Matches
821,Victor Wanyama,ke KEN,MF,CF Montréal,31,1991,19.9,22,1.11,18,1,1,1,1,0,1,0.05,1,0,0,0,0,0,Matches
822,Taylor Washington,us USA,DFMF,Nashville SC,29,1993,5.4,5,0.93,2,0,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
823,Joel Waterman,ca CAN,DF,CF Montréal,27,1996,26.4,28,1.06,23,3,0,0,1,1,3,0.11,3,0,0,0,0,0,Matches
824,Akil Watts,us USA,DFMF,St. Louis,22,2000,9.8,16,1.63,15,0,0,0,0,1,1,0.10,1,0,0,0,0,0,Matches
825,Quentin Westberg,us USA,GK,Atlanta Utd,36,1986,5.5,1,0.18,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rk
826,Ashley Westwood,eng ENG,MF,Charlotte,32,1990,28.1,75,2.67,57,14,1,1,2,0,11,0.39,9,0,1,0,1,0,Matches
827,Brian White,us USA,FW,Vancouver W'caps,26,1996,28.2,68,2.41,49,0,4,6,6,3,10,0.35,4,0,0,2,3,1,Matches
828,Caleb Wiley,us USA,DFFW,Atlanta Utd,18,2004,25.9,45,1.74,41,2,1,0,1,0,6,0.23,6,0,0,0,0,0,Matches
829,Derrick Williams,ie IRL,DF,D.C. United,30,1993,20.5,20,0.97,15,1,0,2,1,1,1,0.05,0,0,0,1,0,0,Matches
830,Eryk Williamson,us USA,MF,Portland Timbers,25,1997,5.9,16,2.72,8,6,1,0,1,0,3,0.51,1,2,0,0,0,0,Matches
831,Joe Willis,us USA,GK,Nashville SC,34,1988,32.0,11,0.34,8,3,0,0,0,0,2,0.06,2,0,0,0,0,0,Matches
832,Danny Wilson,sct SCO,DF,Colorado Rapids,31,1991,25.7,18,0.70,12,0,0,5,1,0,1,0.04,1,0,0,0,0,0,Matches
833,Owen Wolff,us USA,MF,Austin,18,2004,20.9,42,2.01,35,0,6,0,1,0,4,0.19,4,0,0,0,0,0,Matches
834,Tyler Wolff,us USA,FWMF,Atlanta Utd,19,2003,7.2,15,2.08,12,0,1,1,0,1,4,0.56,3,0,0,0,0,1,Matches
835,Bobby Wood,us USA,FW,NE Revolution,30,1992,16.5,30,1.82,17,0,6,4,3,0,7,0.43,4,0,1,2,0,0,Matches
836,Karifa Yao,ca CAN,MF,Vancouver W'caps,22,2000,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
837,Darren Yapi,us USA,FWMF,Colorado Rapids,18,2004,9.9,21,2.12,12,0,3,2,3,1,1,0.10,1,0,0,0,0,0,Matches
838,William Yarbrough,us USA,GK,Colorado Rapids,33,1989,20.0,1,0.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
839,Joshua Yaro,gh GHA,DF,St. Louis,28,1994,10.1,9,0.89,7,0,0,0,0,2,0,0.00,0,0,0,0,0,0,Matches
840,Dru Yearwood,eng ENG,MF,NY Red Bulls,22,2000,9.2,23,2.51,18,1,1,0,1,2,0,0.00,0,0,0,0,0,0,Matches
841,Yaw Yeboah,gh GHA,DFMF,Columbus Crew,25,1997,22.0,72,3.27,55,3,7,3,3,1,7,0.32,5,0,1,0,1,0,Matches
842,DeAndre Yedlin,us USA,DF,Inter Miami,29,1993,25.8,34,1.32,30,2,1,0,1,0,4,0.16,3,0,1,0,0,0,Matches
