rank,team,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,notes
1, Orlando City,2,2,0,0,2,0,+2,6,3.00,2.4,1.6,+0.8,+0.41,→ Conference Semifinals 
2, Nashville SC,2,0,0,2,0,2,-2,0,0.00,1.6,2.4,-0.8,-0.41,
