rank,team,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,notes
1, Philadelphia Union,2,2,0,0,4,1,+3,6,3.00,3.5,1.6,+1.9,+0.94,→ Conference Semifinals 
2, NE Revolution,2,0,0,2,1,4,-3,0,0.00,1.6,3.5,-1.9,-0.94,
