ranker,player,nationality,position,team,age,weekly_wages,annual_wages,notes
211,Braian Ojeda,py PAR,MF,Real Salt Lake,22,$11346 (€ 10398 £ 8939),$590000 (€ 540679 £ 464818),
212,Santiago Sosa,ar ARG,MF,Atlanta Utd,23,$11058 (€ 10133 £ 8712),$575000 (€ 526933 £ 453001),
213,Dylan Borrero,co COL,FWMF,NE Revolution,21,$11058 (€ 10133 £ 8712),$575000 (€ 526933 £ 453001),
214,Russell Canouse,us USA,MF,D.C. United,27,$11058 (€ 10133 £ 8712),$575000 (€ 526933 £ 453001),
215,Robin Jansson,se SWE,DF,Orlando City,31,$11058 (€ 10133 £ 8712),$575000 (€ 526933 £ 453001),
216,Khiry Shelton,us USA,FWMF,Sporting KC,29,$11058 (€ 10133 £ 8712),$575000 (€ 526933 £ 453001),
217,Steve Clark,us USA,GK,Houston Dynamo,36,$10769 (€ 9869 £ 8484),$560000 (€ 513186 £ 441184),
218,Bongokuhle Hlongwane,za RSA,FW,Minnesota Utd,22,$10769 (€ 9869 £ 8484),$560000 (€ 513186 £ 441184),
219,Nathan Byrne,eng ENG,DF,Charlotte,30,$10769 (€ 9869 £ 8484),$560000 (€ 513186 £ 441184),
220,Luis Abram,pe PER,DF,Atlanta Utd,26,$10699 (€ 9805 £ 8429),$556364 (€ 509854 £ 438319),
221,Serhiy Kryvtsov,ua UKR,DF,Inter Miami,31,$10683 (€ 9790 £ 8416),$555500 (€ 509063 £ 437638),
222,Daniel Lovitz,us USA,DF,Nashville SC,31,$10601 (€ 9715 £ 8352),$551250 (€ 505168 £ 434290),
223,Amine Bassi,fr FRA,MFFW,Houston Dynamo,25,$10577 (€ 9693 £ 8333),$550000 (€ 504022 £ 433305),
224,Corey Baird,us USA,FW,Houston Dynamo,27,$10577 (€ 9693 £ 8333),$550000 (€ 504022 £ 433305),
225,Franco Ibarra,ar ARG,MF,Toronto FC,21,$10577 (€ 9693 £ 8333),$550000 (€ 504022 £ 433305),Unverified estimation
Rk
226,Nigel Robertha,nl NED,FWMF,D.C. United,24,$10577 (€ 9693 £ 8333),$550000 (€ 504022 £ 433305),
227,José Andrés Martínez,ve VEN,MF,Philadelphia Union,28,$10577 (€ 9693 £ 8333),$550000 (€ 504022 £ 433305),
228,Léo Chú,br BRA,FW,Seattle Sounders,22,$10577 (€ 9693 £ 8333),$550000 (€ 504022 £ 433305),
229,Nouhou Tolo,cm CMR,DF,Seattle Sounders,25,$10577 (€ 9693 £ 8333),$550000 (€ 504022 £ 433305),
230,Keaton Parks,us USA,MF,NYCFC,25,$10577 (€ 9693 £ 8333),$550000 (€ 504022 £ 433305),
231,Cristhian Paredes,py PAR,MF,Portland Timbers,24,$10577 (€ 9693 £ 8333),$550000 (€ 504022 £ 433305),
232,Lucas Calegari,br BRA,DF,LA Galaxy,20,$10577 (€ 9693 £ 8333),$550000 (€ 504022 £ 433305),
233,Dominique Badji,sn SEN,FW,FC Cincinnati,30,$10577 (€ 9693 £ 8333),$550000 (€ 504022 £ 433305),
234,Santiago Arias,co COL,DF,FC Cincinnati,31,$10577 (€ 9693 £ 8333),$550000 (€ 504022 £ 433305),
235,Leonardo Campana,ec ECU,FW,Inter Miami,22,$10577 (€ 9693 £ 8333),$549996 (€ 504019 £ 433302),
236,Sang-bin Jeong, ,CF,Minnesota Utd,21,$10538 (€ 9658 £ 8303),$548000 (€ 502190 £ 431730),
237,Julián Fernández, ,RW,NYCFC,19,$10385 (€ 9517 £ 8181),$540000 (€ 494858 £ 425427),
238,Diego Palacios,ec ECU,DF,LAFC,23,$10385 (€ 9517 £ 8181),$540000 (€ 494858 £ 425427),
239,Gabriel Pirani,br BRA,MF,D.C. United,20,$10192 (€ 9340 £ 8030),$530000 (€ 485694 £ 417549),
240,Adama Diomande,no NOR,FW,Toronto FC,32,$10096 (€ 9252 £ 7954),$525000 (€ 481112 £ 413610),
241,Sidnei Tavares, ,CM,Colorado Rapids,21,$10096 (€ 9252 £ 7954),$525000 (€ 481112 £ 413610),
242,Andrés Perea,us USA,MF,NYCFC,22,$10096 (€ 9252 £ 7954),$525000 (€ 481112 £ 413610),
243,Dru Yearwood,eng ENG,MF,NY Red Bulls,22,$10096 (€ 9252 £ 7954),$525000 (€ 481112 £ 413610),
244,Carlos Akapo,gq EQG,DF,SJ Earthquakes,29,$10096 (€ 9252 £ 7954),$525000 (€ 481112 £ 413610),
245,Miguel Araujo,pe PER,DF,Portland Timbers,28,$10096 (€ 9252 £ 7954),$525000 (€ 481112 £ 413610),
246,Sebastien Ibeagha,us USA,DF,FC Dallas,31,$10000 (€ 9164 £ 7878),$520000 (€ 476530 £ 409670),
247,Ryan Hollingshead,us USA,DF,LAFC,31,$9904 (€ 9076 £ 7803),$515000 (€ 471948 £ 405731),
248,Brian White,us USA,FW,Vancouver W'caps,26,$9827 (€ 9005 £ 7742),$511000 (€ 468283 £ 402580),
249,Miguel Tapias,mx MEX,DF,Minnesota Utd,26,$9616 (€ 8812 £ 7575),$500012 (€ 458213 £ 393923),
250,Martín Cáceres,uy URU,DF,LA Galaxy,35,$9615 (€ 8812 £ 7575),$500004 (€ 458206 £ 393917),
Rk
251,Adalberto Carrasquilla,pa PAN,FWMF,Houston Dynamo,24,$9615 (€ 8812 £ 7575),$500000 (€ 458202 £ 393914),
252,Alex Muyl,us USA,MFDF,Nashville SC,27,$9615 (€ 8812 £ 7575),$500000 (€ 458202 £ 393914),
253,Matt Polster,us USA,MFDF,NE Revolution,29,$9615 (€ 8812 £ 7575),$500000 (€ 458202 £ 393914),
254,Luis Díaz,cr CRC,FW,Colorado Rapids,24,$9615 (€ 8812 £ 7575),$500000 (€ 458202 £ 393914),
255,Tim Leibold,de GER,DF,Sporting KC,29,$9615 (€ 8812 £ 7575),$500000 (€ 458202 £ 393914),
256,Cory Burke,jm JAM,FW,NY Red Bulls,31,$9615 (€ 8812 £ 7575),$500000 (€ 458202 £ 393914),
257,Kyle Duncan,us USA,DF,NY Red Bulls,25,$9615 (€ 8812 £ 7575),$500000 (€ 458202 £ 393914),
258,Filip Krastev,bg BUL,MF,LAFC,21,$9615 (€ 8812 £ 7575),$500000 (€ 458202 £ 393914),
259,Timmy Tillman,de GER,MF,LAFC,24,$9615 (€ 8812 £ 7575),$500000 (€ 458202 £ 393914),
260,Miguel Trauco,pe PER,DF,SJ Earthquakes,30,$9615 (€ 8812 £ 7575),$500000 (€ 458202 £ 393914),
261,Diego Gómez, ,CM,Inter Miami,20,$9615 (€ 8812 £ 7575),$500000 (€ 458202 £ 393914),
262,Facundo Farías,ar ARG,FWMF,Inter Miami,20,$9615 (€ 8812 £ 7575),$500000 (€ 458202 £ 393914),
263,Oriol Rosell,es ESP,MF,LA Galaxy,30,$9615 (€ 8812 £ 7575),$500000 (€ 458202 £ 393914),
264,Kristijan Kahlina,hr CRO,GK,Charlotte,30,$9615 (€ 8812 £ 7575),$500000 (€ 458202 £ 393914),
265,Pablo Ruíz,ar ARG,MF,Real Salt Lake,24,$9615 (€ 8812 £ 7575),$500000 (€ 458202 £ 393914),
266,Aidan Morris,us USA,MF,Columbus Crew,21,$9615 (€ 8812 £ 7575),$500000 (€ 458202 £ 393914),
267,Rudy Camacho,fr FRA,DF,Columbus Crew,31,$9615 (€ 8812 £ 7575),$500000 (€ 458202 £ 393914),
268,Ranko Veselinović,rs SRB,DF,Vancouver W'caps,23,$9519 (€ 8723 £ 7500),$495000 (€ 453620 £ 389975),
269,Carlos Coronel,py PAR,GK,NY Red Bulls,26,$9423 (€ 8635 £ 7424),$490000 (€ 449038 £ 386036),
270,Xande Silva,pt POR,FW,Atlanta Utd,25,$9231 (€ 8459 £ 7272),$480000 (€ 439874 £ 378157),
271,Maximiliano Moralez,ar ARG,MFFW,NYCFC,35,$9231 (€ 8459 £ 7272),$480000 (€ 439874 £ 378157),
272,Franco Escobar,ar ARG,DF,Houston Dynamo,27,$9135 (€ 8371 £ 7197),$475000 (€ 435292 £ 374218),
273,Brandon Servania,us USA,MFFW,Toronto FC,23,$9135 (€ 8371 £ 7197),$475000 (€ 435292 £ 374218),
274,Jonathan Bond,eng ENG,GK,LA Galaxy,29,$9135 (€ 8371 £ 7197),$475000 (€ 435292 £ 374218),
275,Georgios Koutsias, ,CF,Chicago Fire,19,$9054 (€ 8297 £ 7133),$470800 (€ 431443 £ 370909),
Rk
276,Connor Ronan,ie IRL,MF,Colorado Rapids,24,$8846 (€ 8107 £ 6969),$460000 (€ 421546 £ 362401),
277,Dany Rosero, ,CB,Sporting KC,29,$8769 (€ 8036 £ 6909),$456000 (€ 417880 £ 359249),
278,Tristan Muyumba, ,MF,Atlanta Utd,25,$8654 (€ 7930 £ 6818),$450000 (€ 412382 £ 354523),
279,Cole Bassett,us USA,MFFW,Colorado Rapids,21,$8654 (€ 7930 £ 6818),$450000 (€ 412382 £ 354523),
280,Andy Najar,hn HON,DF,D.C. United,29,$8654 (€ 7930 £ 6818),$450000 (€ 412382 £ 354523),
281,Andreu Fontàs,es ESP,DF,Sporting KC,33,$8654 (€ 7930 £ 6818),$450000 (€ 412382 £ 354523),
282,Andrés Reyes,co COL,DF,NY Red Bulls,23,$8654 (€ 7930 £ 6818),$450000 (€ 412382 £ 354523),
283,Eddie Segura,co COL,CB,LAFC,26,$8654 (€ 7930 £ 6818),$450000 (€ 412382 £ 354523),
284,Jesús David Murillo,co COL,DF,LAFC,28,$8654 (€ 7930 £ 6818),$450000 (€ 412382 £ 354523),
285,Hassani Dotson,us USA,MFFW,Minnesota Utd,25,$8654 (€ 7930 £ 6818),$450000 (€ 412382 £ 354523),
286,Franck Boli, ,CF,Portland Timbers,29,$8654 (€ 7930 £ 6818),$450000 (€ 412382 £ 354523),
287,Jere Uronen,fi FIN,DF,Charlotte,28,$8654 (€ 7930 £ 6818),$450000 (€ 412382 £ 354523),
288,Justin Meram,iq IRQ,FWMF,Charlotte,34,$8654 (€ 7930 £ 6818),$450000 (€ 412382 £ 354523),
289,Brayan Vera,co COL,DF,Real Salt Lake,24,$8654 (€ 7930 £ 6818),$450000 (€ 412382 £ 354523),
290,Federico Navarro,ar ARG,MF,Chicago Fire,22,$8654 (€ 7930 £ 6818),$450000 (€ 412382 £ 354523),
291,Alexandru Mățan,ro ROU,MFFW,Columbus Crew,23,$8654 (€ 7930 £ 6818),$450000 (€ 412382 £ 354523),
292,Rodney Redes,py PAR,MFFW,Austin,22,$8462 (€ 7754 £ 6666),$440000 (€ 403218 £ 346644),
293,Bill Tuiloma,nz NZL,DF,Charlotte,27,$8365 (€ 7666 £ 6590),$435000 (€ 398636 £ 342705),
294,Ibrahim Aliyu, ,CF,Houston Dynamo,21,$8173 (€ 7490 £ 6439),$425004 (€ 389476 £ 334830),
295,Marco Farfan,us USA,DF,FC Dallas,24,$8173 (€ 7490 £ 6439),$425000 (€ 389472 £ 334827),
296,Teal Bunbury,us USA,FW,Nashville SC,32,$8173 (€ 7490 £ 6439),$425000 (€ 389472 £ 334827),
297,Omar Gonzalez,us USA,DF,NE Revolution,34,$8173 (€ 7490 £ 6439),$425000 (€ 389472 £ 334827),
298,Brendan Hines-Ike,us USA,DF,D.C. United,28,$8173 (€ 7490 £ 6439),$425000 (€ 389472 £ 334827),
299,Chris Durkin,us USA,MF,D.C. United,22,$8173 (€ 7490 £ 6439),$425000 (€ 389472 £ 334827),
300,Robert Voloder,ba BIH,DF,Sporting KC,21,$8173 (€ 7490 £ 6439),$425000 (€ 389472 £ 334827),
Rk
301,Ethan Finlay,us USA,FWMF,Austin,32,$8173 (€ 7490 £ 6439),$425000 (€ 389472 £ 334827),
302,Antony,br BRA,FWMF,Portland Timbers,21,$8173 (€ 7490 £ 6439),$425000 (€ 389472 £ 334827),
303,Thomas McNamara,us USA,MFFW,NE Revolution,31,$8077 (€ 7402 £ 6363),$420000 (€ 384890 £ 330888),
304,Marko Ilić,rs SRB,GK,Colorado Rapids,24,$8077 (€ 7402 £ 6363),$420000 (€ 384890 £ 330888),
305,Elias Manoel,br BRA,FW,NY Red Bulls,21,$8077 (€ 7402 £ 6363),$420000 (€ 384890 £ 330888),
306,Ousmane Doumbia,ci CIV,MF,Chicago Fire,30,$8077 (€ 7402 £ 6363),$420000 (€ 384890 £ 330888),
307,Erik Sviatchenko, ,CB,Houston Dynamo,31,$7895 (€ 7235 £ 6220),$410532 (€ 376213 £ 323429),
308,Jonathan Lewis,us USA,FWMF,Colorado Rapids,25,$7885 (€ 7226 £ 6212),$410000 (€ 375726 £ 323009),
309,Dayne St. Clair,ca CAN,GK,Minnesota Utd,25,$7885 (€ 7226 £ 6212),$410000 (€ 375726 £ 323009),
310,Brad Stuver,us USA,GK,Austin,31,$7846 (€ 7190 £ 6181),$408000 (€ 373893 £ 321434),
311,Sean Johnson,us USA,GK,Toronto FC,33,$7803 (€ 7151 £ 6147),$405751 (€ 371832 £ 319662),
312,Chase Gasper,us USA,DF,Houston Dynamo,27,$7692 (€ 7049 £ 6060),$400000 (€ 366562 £ 315131),
313,Juan José Purata, ,CB,Atlanta Utd,25,$7692 (€ 7049 £ 6060),$400000 (€ 366562 £ 315131),
314,Bobby Wood,us USA,FW,NE Revolution,30,$7692 (€ 7049 £ 6060),$400000 (€ 366562 £ 315131),
315,Keegan Rosenberry,us USA,DF,Colorado Rapids,29,$7692 (€ 7049 £ 6060),$400000 (€ 366562 £ 315131),
316,William Yarbrough,us USA,GK,Colorado Rapids,33,$7692 (€ 7049 £ 6060),$400000 (€ 366562 £ 315131),
317,Ruan,br BRA,DFMF,D.C. United,27,$7692 (€ 7049 £ 6060),$400000 (€ 366562 £ 315131),
318,Tyler Miller,us USA,GK,D.C. United,29,$7692 (€ 7049 £ 6060),$400000 (€ 366562 £ 315131),
319,John Tolkin,us USA,DF,NY Red Bulls,20,$7692 (€ 7049 £ 6060),$400000 (€ 366562 £ 315131),
320,Sean Nealis,us USA,DF,NY Red Bulls,26,$7692 (€ 7049 £ 6060),$400000 (€ 366562 £ 315131),
321,Russell Teibert,ca CAN,MF,Vancouver W'caps,30,$7692 (€ 7049 £ 6060),$400000 (€ 366562 £ 315131),
322,Tristan Blackmon,us USA,DF,Vancouver W'caps,26,$7692 (€ 7049 £ 6060),$400000 (€ 366562 £ 315131),
323,Jhojan Valencia,co COL,MF,Austin,26,$7692 (€ 7049 £ 6060),$400000 (€ 366562 £ 315131),
324,Daniel,br BRA,GK,SJ Earthquakes,28,$7692 (€ 7049 £ 6060),$400000 (€ 366562 £ 315131),
325,Nicolás Stefanelli, ,CF,Inter Miami,28,$7692 (€ 7049 £ 6060),$400000 (€ 366562 £ 315131),
Rk
326,Larrys Mabiala,cd COD,DF,Portland Timbers,35,$7692 (€ 7049 £ 6060),$400000 (€ 366562 £ 315131),
327,Scott Arfield,ca CAN,MFFW,Charlotte,34,$7692 (€ 7049 £ 6060),$400000 (€ 366562 £ 315131),
328,Christian Ramirez,us USA,FWMF,Columbus Crew,31,$7692 (€ 7049 £ 6060),$400000 (€ 366562 £ 315131),
329,Chris Mavinga,cd COD,DF,LA Galaxy,31,$7692 (€ 7049 £ 6060),$399996 (€ 366558 £ 315128),
330,Jáder Obrian,co COL,FWMF,FC Dallas,27,$7356 (€ 6741 £ 5795),$382500 (€ 350525 £ 301344),
331,Nicholas Gioacchini,us USA,FWMF,St. Louis,22,$7308 (€ 6697 £ 5757),$380004 (€ 348237 £ 299378),
332,Brad Smith,au AUS,DFFW,Houston Dynamo,28,$7212 (€ 6609 £ 5681),$375000 (€ 343652 £ 295435),
333,Edwin Mosquera,co COL,FWMF,Atlanta Utd,21,$7212 (€ 6609 £ 5681),$375000 (€ 343652 £ 295435),
334,Ronald Hernández,ve VEN,DF,Atlanta Utd,25,$7212 (€ 6609 £ 5681),$375000 (€ 343652 £ 295435),
335,Joe Willis,us USA,GK,Nashville SC,34,$7212 (€ 6609 £ 5681),$375000 (€ 343652 £ 295435),
336,DeJuan Jones,us USA,DF,NE Revolution,25,$7212 (€ 6609 £ 5681),$375000 (€ 343652 £ 295435),
337,Nacho Gil,es ESP,FWDF,NE Revolution,27,$7212 (€ 6609 £ 5681),$375000 (€ 343652 £ 295435),
338,Nick Lima,us USA,DF,Austin,28,$7212 (€ 6609 £ 5681),$375000 (€ 343652 £ 295435),
339,Kamal Miller,ca CAN,DF,Inter Miami,25,$7212 (€ 6609 £ 5681),$375000 (€ 343652 £ 295435),
340,Aljaž Ivačič,si SVN,GK,Portland Timbers,29,$7212 (€ 6609 £ 5681),$375000 (€ 343652 £ 295435),
341,David Ayala,ar ARG,MF,Portland Timbers,20,$7212 (€ 6609 £ 5681),$375000 (€ 343652 £ 295435),
342,Kerwin Vargas,co COL,FWMF,Charlotte,21,$7212 (€ 6609 £ 5681),$375000 (€ 343652 £ 295435),
343,Yevhen Cheberko,ua UKR,DF,Columbus Crew,25,$7115 (€ 6521 £ 5606),$370000 (€ 339070 £ 291496),
344,Braian Galván,ar ARG,FWDF,Colorado Rapids,22,$7033 (€ 6445 £ 5541),$365700 (€ 335129 £ 288109),
345,Dairon Asprilla,co COL,FWMF,Portland Timbers,30,$7019 (€ 6432 £ 5530),$365000 (€ 334488 £ 287557),
346,Júnior Urso,br BRA,MFFW,Orlando City,33,$6923 (€ 6344 £ 5454),$360000 (€ 329906 £ 283618),
347,Tomás Avilés, ,CB,Inter Miami,19,$6923 (€ 6344 £ 5454),$360000 (€ 329906 £ 283618),
348,Daniel Steres,us USA,DF,Houston Dynamo,32,$6827 (€ 6256 £ 5378),$355000 (€ 325324 £ 279679),
349,Denil Maldonado,hn HON,DF,LAFC,24,$6827 (€ 6256 £ 5378),$355000 (€ 325324 £ 279679),
350,Shane O'Neill,us USA,DF,Toronto FC,29,$6731 (€ 6168 £ 5303),$350000 (€ 320742 £ 275740),
Rk
351,Brandon Bye,us USA,DF,NE Revolution,27,$6731 (€ 6168 £ 5303),$350000 (€ 320742 £ 275740),
352,Andrew Gutman,us USA,DF,Colorado Rapids,26,$6731 (€ 6168 £ 5303),$350000 (€ 320742 £ 275740),
353,Pedro Santos,pt POR,DFMF,D.C. United,34,$6731 (€ 6168 £ 5303),$350000 (€ 320742 £ 275740),
354,Logan Ndenbe,be BEL,DF,Sporting KC,22,$6731 (€ 6168 £ 5303),$350000 (€ 320742 £ 275740),
355,Richard Ledezma, ,AM,NYCFC,22,$6731 (€ 6168 £ 5303),$350000 (€ 320742 £ 275740),
356,Frankie Amaya,us USA,MF,NY Red Bulls,22,$6731 (€ 6168 £ 5303),$350000 (€ 320742 £ 275740),
357,Maxime Crépeau,ca CAN,GK,LAFC,28,$6731 (€ 6168 £ 5303),$350000 (€ 320742 £ 275740),
358,Mender García,co COL,FWMF,Minnesota Utd,24,$6731 (€ 6168 £ 5303),$350000 (€ 320742 £ 275740),
359,Adam Lundqvist,se SWE,DFMF,Austin,28,$6731 (€ 6168 £ 5303),$350000 (€ 320742 £ 275740),
360,J.T. Marcinkowski,us USA,GK,SJ Earthquakes,25,$6731 (€ 6168 £ 5303),$350000 (€ 320742 £ 275740),
361,Zac MacMath,us USA,GK,Real Salt Lake,31,$6731 (€ 6168 £ 5303),$350000 (€ 320742 £ 275740),
362,Junior Moreno,ve VEN,MF,FC Cincinnati,29,$6731 (€ 6168 £ 5303),$349992 (€ 320734 £ 275733),
363,Iván Angulo,co COL,FWDF,Orlando City,23,$6692 (€ 6133 £ 5272),$348000 (€ 318909 £ 274164),
364,Wilder Cartagena,pe PER,MF,Orlando City,28,$6692 (€ 6133 £ 5272),$348000 (€ 318909 £ 274164),
365,Santiago Moreno,co COL,FWMF,Portland Timbers,22,$6538 (€ 5992 £ 5151),$340000 (€ 311578 £ 267861),
366,Monsef Bakrar, ,CF,NYCFC,22,$6462 (€ 5921 £ 5091),$336000 (€ 307912 £ 264710),
367,Gustavo Vallecilla,ec ECU,DF,Columbus Crew,23,$6462 (€ 5921 £ 5091),$336000 (€ 307912 £ 264710),
368,Iván Franco, ,LW,Houston Dynamo,23,$6442 (€ 5904 £ 5075),$335000 (€ 306995 £ 263922),
369,Danny Wilson,sct SCO,DF,Colorado Rapids,31,$6346 (€ 5816 £ 5000),$330000 (€ 302413 £ 259983),
370,Gaston Gonzalez,ar ARG,FWDF,Orlando City,21,$6346 (€ 5816 £ 5000),$330000 (€ 302413 £ 259983),
371,Alonso Aceves,mx MEX,DF,Chicago Fire,21,$6346 (€ 5816 £ 5000),$330000 (€ 302413 £ 259983),
372,Sam Nicholson,sct SCO,MFDF,Colorado Rapids,28,$6250 (€ 5728 £ 4924),$325000 (€ 297831 £ 256044),
373,Graham Zusi,us USA,DF,Sporting KC,36,$6250 (€ 5728 £ 4924),$325000 (€ 297831 £ 256044),
374,Žan Kolmanič,si SVN,DF,Austin,22,$6250 (€ 5728 £ 4924),$325000 (€ 297831 £ 256044),
375,Selmir Pidro, ,LB,St. Louis,25,$6250 (€ 5728 £ 4924),$325000 (€ 297831 £ 256044),
Rk
376,Derrick Jones,us USA,MFDF,Charlotte,25,$6250 (€ 5728 £ 4924),$325000 (€ 297831 £ 256044),
377,Jan Sobociński,pl POL,DF,Charlotte,23,$6250 (€ 5728 £ 4924),$325000 (€ 297831 £ 256044),
378,Bryan Oviedo,cr CRC,DF,Real Salt Lake,32,$6250 (€ 5728 £ 4924),$325000 (€ 297831 £ 256044),
379,Josh Williams,us USA,DF,Columbus Crew,34,$6250 (€ 5728 £ 4924),$325000 (€ 297831 £ 256044),
380,Ema Twumasi,gh GHA,DF,FC Dallas,25,$6154 (€ 5639 £ 4848),$320000 (€ 293249 £ 252105),
381,Ramiro Enrique,ar ARG,FW,Orlando City,21,$6119 (€ 5607 £ 4821),$318182 (€ 291583 £ 250673),
382,Claudio Bravo,ar ARG,DF,Portland Timbers,25,$6058 (€ 5551 £ 4772),$315000 (€ 288667 £ 248166),
383,Raheem Edwards,ca CAN,DF,LA Galaxy,27,$6058 (€ 5551 £ 4772),$315000 (€ 288667 £ 248166),
384,Vinicius Mello,br BRA,FW,Charlotte,20,$6058 (€ 5551 £ 4772),$315000 (€ 288667 £ 248166),
385,Brandt Bronico,us USA,MF,Charlotte,27,$5962 (€ 5463 £ 4697),$310000 (€ 284085 £ 244227),
386,Fabian Herbers,de GER,MFFW,Chicago Fire,29,$5962 (€ 5463 £ 4697),$310000 (€ 284085 £ 244227),
387,Cristián Gutiérrez,cl CHI,DF,Toronto FC,25,$5769 (€ 5287 £ 4545),$300000 (€ 274921 £ 236348),
388,Asier Illarramendi,es ESP,MF,FC Dallas,32,$5769 (€ 5287 £ 4545),$300000 (€ 274921 £ 236348),
389,Jimmy Maurer,us USA,GK,FC Dallas,34,$5769 (€ 5287 £ 4545),$300000 (€ 274921 £ 236348),
390,Maarten Paes,id IDN,GK,FC Dallas,24,$5769 (€ 5287 £ 4545),$300000 (€ 274921 £ 236348),
391,Olivier Mbaizo,cm CMR,DF,Philadelphia Union,25,$5769 (€ 5287 £ 4545),$300000 (€ 274921 £ 236348),
392,Rafael Santos, ,LB,Orlando City,25,$5769 (€ 5287 £ 4545),$300000 (€ 274921 £ 236348),
393,Rodrigo Schlegel,ar ARG,DF,Orlando City,25,$5769 (€ 5287 £ 4545),$300000 (€ 274921 £ 236348),
394,Alex Roldan,sv SLV,DF,Seattle Sounders,26,$5769 (€ 5287 £ 4545),$300000 (€ 274921 £ 236348),
395,Kelyn Rowe,us USA,DF,Seattle Sounders,31,$5769 (€ 5287 £ 4545),$300000 (€ 274921 £ 236348),
396,Tayvon Gray,jm JAM,DF,NYCFC,20,$5769 (€ 5287 £ 4545),$300000 (€ 274921 £ 236348),
397,Luís Martins,pt POR,DF,Vancouver W'caps,30,$5769 (€ 5287 £ 4545),$300000 (€ 274921 £ 236348),
398,Jon Gallagher,ie IRL,DFMF,Austin,26,$5769 (€ 5287 £ 4545),$300000 (€ 274921 £ 236348),
399,Drake Callender,us USA,GK,Inter Miami,25,$5769 (€ 5287 £ 4545),$300000 (€ 274921 £ 236348),
400,Kelvin Leerdam,sr SUR,DF,LA Galaxy,32,$5769 (€ 5287 £ 4545),$300000 (€ 274921 £ 236348),
Rk
401,Álvaro Barreal,ar ARG,DF,FC Cincinnati,22,$5769 (€ 5287 £ 4545),$300000 (€ 274921 £ 236348),
402,Ray Gaddis,us USA,DF,FC Cincinnati,33,$5769 (€ 5287 £ 4545),$300000 (€ 274921 £ 236348),
403,Nelson Palacio,co COL,MF,Real Salt Lake,21,$5769 (€ 5287 £ 4545),$300000 (€ 274921 £ 236348),
404,Jimmy Medranda,co COL,MFDF,Columbus Crew,28,$5769 (€ 5287 £ 4545),$300000 (€ 274921 £ 236348),
405,Malte Amundsen,dk DEN,DF,Columbus Crew,24,$5769 (€ 5287 £ 4545),$300000 (€ 274921 £ 236348),
406,Leon Flach,us USA,MF,Philadelphia Union,21,$5385 (€ 4934 £ 4242),$280000 (€ 256593 £ 220592),
407,Ryan Meara,us USA,GK,NY Red Bulls,32,$5385 (€ 4934 £ 4242),$280000 (€ 256593 £ 220592),
408,Robert Taylor,fi FIN,FWDF,Inter Miami,28,$5308 (€ 4864 £ 4182),$276000 (€ 252928 £ 217440),
409,Cassius Mailula, ,RW,Toronto FC,22,$5288 (€ 4846 £ 4166),$275000 (€ 252011 £ 216653),
410,Dax McCarty,us USA,MF,Nashville SC,35,$5288 (€ 4846 £ 4166),$275000 (€ 252011 £ 216653),
411,Damion Lowe,jm JAM,DF,Philadelphia Union,29,$5288 (€ 4846 £ 4166),$275000 (€ 252011 £ 216653),
412,Julián Aude,ar ARG,DF,LA Galaxy,19,$5288 (€ 4846 £ 4166),$275000 (€ 252011 £ 216653),
413,Tyler Boyd,us USA,FWMF,LA Galaxy,28,$5288 (€ 4846 £ 4166),$275000 (€ 252011 £ 216653),
414,Marco Angulo, ,DM,FC Cincinnati,21,$5288 (€ 4846 £ 4166),$275000 (€ 252011 £ 216653),
415,Adilson Malanda,fr FRA,DF,Charlotte,21,$5288 (€ 4846 £ 4166),$275000 (€ 252011 £ 216653),
416,Víctor Vázquez,es ESP,MFFW,Toronto FC,36,$5154 (€ 4723 £ 4060),$268000 (€ 245596 £ 211138),
417,Maren Haile-Selassie,ch SUI,FWDF,Chicago Fire,23,$5077 (€ 4653 £ 4000),$264000 (€ 241931 £ 207987),
418,Jack Maher,us USA,DF,Nashville SC,23,$5000 (€ 4582 £ 3939),$260004 (€ 238269 £ 204838),
419,Carlos Terán,co COL,DF,Chicago Fire,22,$5000 (€ 4582 £ 3939),$260004 (€ 238269 £ 204838),
420,Miguel Navarro,ve VEN,DF,Chicago Fire,23,$5000 (€ 4582 £ 3939),$260004 (€ 238269 £ 204838),
421,Joaquín Torres,ar ARG,MFFW,Philadelphia Union,26,$5000 (€ 4582 £ 3939),$260000 (€ 238265 £ 204835),
422,Franco Fragapane,ar ARG,MFFW,Minnesota Utd,29,$5000 (€ 4582 £ 3939),$260000 (€ 238265 £ 204835),
423,César Araujo,uy URU,MF,Orlando City,21,$4904 (€ 4494 £ 3863),$255000 (€ 233683 £ 200896),
424,Mauricio Pineda,us USA,DFMF,Chicago Fire,25,$4904 (€ 4494 £ 3863),$255000 (€ 233683 £ 200896),
425,Nick DePuy,us USA,CB,Nashville SC,28,$4846 (€ 4441 £ 3818),$252000 (€ 230934 £ 198533),
Rk
426,Andrew Tarbell,us USA,GK,Houston Dynamo,29,$4808 (€ 4406 £ 3788),$250000 (€ 229101 £ 196957),
427,Dante Sealy,us USA,MFDF,FC Dallas,19,$4808 (€ 4406 £ 3788),$250000 (€ 229101 £ 196957),
428,Geovane Jesus, ,RB,FC Dallas,22,$4808 (€ 4406 £ 3788),$250000 (€ 229101 £ 196957),
429,Brian Anunga,cm CMR,MF,Nashville SC,26,$4808 (€ 4406 £ 3788),$250000 (€ 229101 £ 196957),
