ranker,player,nationality,position,team,age,weekly_wages,annual_wages,notes
47,Jordan Morris,us USA,FW,Seattle Sounders,28,$29808 (€ 27316 £ 23483),$1550000 (€ 1420427 £ 1221133),
48,Jefferson Savarino,ve VEN,MFFW,Real Salt Lake,26,$29327 (€ 26875 £ 23105),$1525000 (€ 1397517 £ 1201437),
49,Alexander Ring,fi FIN,DFMF,Austin,31,$28846 (€ 26435 £ 22726),$1500000 (€ 1374607 £ 1181742),
50,Roman Bürki,ch SUI,GK,St. Louis,32,$28846 (€ 26435 £ 22726),$1500000 (€ 1374607 £ 1181742),
Rk
51,Sergio Busquets,es ESP,MF,Inter Miami,34,$28846 (€ 26435 £ 22726),$1500000 (€ 1374607 £ 1181742),
52,Yimmi Chará,co COL,FW,Portland Timbers,31,$28846 (€ 26435 £ 22726),$1500000 (€ 1374607 £ 1181742),
53,Matt Miazga,us USA,DF,FC Cincinnati,27,$28846 (€ 26435 £ 22726),$1500000 (€ 1374607 £ 1181742),
54,Richie Laryea,ca CAN,FWDF,Vancouver W'caps,28,$27622 (€ 25313 £ 21761),$1436338 (€ 1316267 £ 1131587),
55,Jonathan Osorio,ca CAN,MFFW,Toronto FC,30,$26923 (€ 24672 £ 21211),$1400000 (€ 1282966 £ 1102959),
56,Miles Robinson,us USA,DF,Atlanta Utd,25,$26923 (€ 24672 £ 21211),$1400000 (€ 1282966 £ 1102959),
57,Sebastián Blanco,ar ARG,FWMF,Portland Timbers,34,$26538 (€ 24320 £ 20908),$1380000 (€ 1264638 £ 1087202),
58,Carlos Gruezo,ec ECU,MF,SJ Earthquakes,27,$25962 (€ 23791 £ 20453),$1350000 (€ 1237146 £ 1063568),
59,Cristian Roldan,us USA,FWDF,Seattle Sounders,27,$25385 (€ 23263 £ 19999),$1320000 (€ 1209654 £ 1039933),
60,Dante Vanzeir,be BEL,FWMF,NY Red Bulls,24,$25385 (€ 23263 £ 19999),$1320000 (€ 1209654 £ 1039933),
61,João Paulo Mior,br BRA,MF,Seattle Sounders,31,$25000 (€ 22910 £ 19696),$1300000 (€ 1191326 £ 1024176),
62,Rafael Czichos,de GER,DF,Chicago Fire,32,$25000 (€ 22910 £ 19696),$1300000 (€ 1191326 £ 1024176),
63,Kellyn Acosta,us USA,MF,LAFC,27,$24038 (€ 22029 £ 18938),$1250000 (€ 1145506 £ 984785),
64,Klauss,br BRA,FW,St. Louis,25,$23654 (€ 21676 £ 18635),$1230000 (€ 1127177 £ 969028),
65,Ilie Sánchez,es ESP,MF,LAFC,32,$23221 (€ 21280 £ 18294),$1207500 (€ 1106558 £ 951302),
66,Alan Velasco,ar ARG,FWMF,FC Dallas,20,$23077 (€ 21148 £ 18181),$1200000 (€ 1099685 £ 945393),
67,Dániel Gazdag,hu HUN,MF,Philadelphia Union,26,$23077 (€ 21148 £ 18181),$1200000 (€ 1099685 £ 945393),
68,Santiago Rodríguez,uy URU,MFFW,NYCFC,23,$23077 (€ 21148 £ 18181),$1200000 (€ 1099685 £ 945393),
69,Lewis Morgan,sct SCO,MFFW,NY Red Bulls,26,$23077 (€ 21148 £ 18181),$1200000 (€ 1099685 £ 945393),
70,Eduard Löwen,de GER,MF,St. Louis,26,$23077 (€ 21148 £ 18181),$1200000 (€ 1099685 £ 945393),
71,Jamiro Monteiro,cv CPV,MF,SJ Earthquakes,29,$23077 (€ 21148 £ 18181),$1200000 (€ 1099685 £ 945393),
72,Gastón Brugman,uy URU,MF,LA Galaxy,30,$23077 (€ 21148 £ 18181),$1200000 (€ 1099685 £ 945393),
73,Aaron Long,us USA,DF,LAFC,30,$23073 (€ 21144 £ 18177),$1199772 (€ 1099476 £ 945214),
74,Luquinhas,br BRA,MFFW,NY Red Bulls,26,$22212 (€ 20355 £ 17499),$1155000 (€ 1058447 £ 909941),
75,Obinna Nwobodo,ng NGA,MF,FC Cincinnati,26,$22212 (€ 20355 £ 17499),$1155000 (€ 1058447 £ 909941),
Rk
76,Cristian Espinoza,ar ARG,FWMF,SJ Earthquakes,27,$22115 (€ 20267 £ 17423),$1150000 (€ 1053865 £ 906002),
77,Teenage Hadebe,zw ZIM,DF,Houston Dynamo,27,$21594 (€ 19789 £ 17013),$1122900 (€ 1029031 £ 884652),
78,Joakim Nilsson,se SWE,DF,St. Louis,28,$21201 (€ 19429 £ 16703),$1102450 (€ 1010290 £ 868541),
79,Jairo Torres,mx MEX,MFFW,Chicago Fire,22,$21154 (€ 19386 £ 16666),$1100004 (€ 1008049 £ 866614),
80,Kacper Przybyłko,pl POL,FW,Chicago Fire,29,$21154 (€ 19386 £ 16666),$1100004 (€ 1008049 £ 866614),
81,Jesús Jiménez,es ESP,FWMF,FC Dallas,29,$21154 (€ 19385 £ 16666),$1100000 (€ 1008045 £ 866611),
82,Andreas Maxsø,dk DEN,DF,Colorado Rapids,28,$21154 (€ 19385 £ 16666),$1100000 (€ 1008045 £ 866611),
83,Rafael Navarro,br BRA,FW,Colorado Rapids,22,$21154 (€ 19385 £ 16666),$1100000 (€ 1008045 £ 866611),
84,Dániel Sallói,hu HUN,FW,Sporting KC,26,$21154 (€ 19385 £ 16666),$1100000 (€ 1008045 £ 866611),
85,Kamil Jóźwiak,pl POL,FWMF,Charlotte,24,$21154 (€ 19385 £ 16666),$1100000 (€ 1008045 £ 866611),
86,Yuya Kubo,jp JPN,MFFW,FC Cincinnati,29,$20981 (€ 19227 £ 16529),$1091000 (€ 999797 £ 859520),
87,Andrés Cubas,py PAR,MF,Vancouver W'caps,26,$20192 (€ 18504 £ 15908),$1050000 (€ 962225 £ 827219),
88,Matías Pellegrini,ar ARG,FWMF,NYCFC,22,$19712 (€ 18064 £ 15529),$1025000 (€ 939315 £ 807524),
89,Jonathan Mensah,gh GHA,DF,SJ Earthquakes,32,$19712 (€ 18064 £ 15529),$1025000 (€ 939315 £ 807524),
90,Randall Leal,cr CRC,MFFW,Nashville SC,26,$19231 (€ 17623 £ 15151),$1000000 (€ 916404 £ 787828),
91,Martín Rodríguez,cl CHI,LW,D.C. United,29,$19231 (€ 17623 £ 15151),$1000000 (€ 916404 £ 787828),
92,Johnny Russell,sct SCO,FW,Sporting KC,32,$19231 (€ 17623 £ 15151),$1000000 (€ 916404 £ 787828),
