team,players_used,possession,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
Atlanta Utd,28,49.5,34.0,20157,2298,6860,8528,4939,863,20150,520,247,47.5,244,46.9,11338,60312,31599,667,394,202,456,241,13360,1286
Austin,26,49.9,34.0,19160,2382,6994,7870,4434,651,19154,504,231,45.8,234,46.4,10372,52470,25620,442,319,102,408,255,12780,1247
CF Montréal,30,50.1,34.0,22136,2565,8185,9769,4335,570,22132,471,224,47.6,217,46.1,13323,62931,31637,515,427,111,505,253,15553,1218
Charlotte,30,44.2,34.0,18621,2290,6441,8039,4308,683,18616,467,213,45.6,225,48.2,10446,55202,29690,574,354,168,410,232,12108,1293
Chicago Fire,27,49.9,34.0,20738,1889,6728,9503,4665,707,20733,538,246,45.7,268,49.8,11871,59128,28493,568,405,162,506,267,13678,1231
Colorado Rapids,25,48.9,34.0,20019,1771,5696,8807,5693,820,20004,553,251,45.4,267,48.3,11375,57603,28469,560,417,165,528,272,13028,1550
Columbus Crew,29,58.7,34.0,24025,1987,7245,11074,5897,810,24019,621,301,48.5,288,46.4,14900,74789,35479,646,491,185,463,323,17692,1608
D.C. United,28,47.0,34.0,18249,1793,5464,8157,4833,804,18244,496,229,46.2,245,49.4,9898,49986,23306,477,378,111,480,273,10739,1230
FC Cincinnati,29,53.7,34.0,21803,1961,6825,9914,5279,810,21799,727,316,43.5,373,51.3,12784,63356,32189,635,489,184,527,321,14663,1401
FC Dallas,30,48.9,34.0,20541,2371,7692,9015,3992,616,20535,418,181,43.3,203,48.6,11748,52570,25423,411,342,115,478,284,13976,1140
Houston Dynamo,26,59.3,34.0,23681,2225,7534,10711,5542,831,23679,510,232,45.5,235,46.1,14107,65078,31804,578,462,153,422,254,17179,1493
Inter Miami,31,54.7,34.0,23130,2478,8011,10630,4675,752,23129,531,266,50.1,238,44.8,13331,64068,33943,515,386,137,449,231,16481,1400
LA Galaxy,26,56.7,34.0,25046,2315,7688,11366,6203,864,25038,632,296,46.8,284,44.9,15241,73016,36186,700,533,216,450,280,18627,1631
LAFC,24,46.8,34.0,20063,2080,6749,8677,4849,841,20055,754,325,43.1,376,49.9,11329,60331,30667,647,436,210,492,272,13047,1344
Minnesota Utd,36,44.3,34.0,18313,1957,6241,7772,4468,761,18307,581,274,47.2,279,48.0,9601,50244,24384,515,356,139,472,286,10916,1262
Nashville SC,29,47.6,34.0,19523,2184,6877,8875,3937,621,19516,428,184,43.0,209,48.8,10281,50829,23978,433,345,109,491,260,12790,1157
NE Revolution,33,51.0,34.0,20999,2399,7507,9150,4557,654,20998,537,255,47.5,250,46.6,11696,62454,29640,570,443,137,478,290,14200,1335
NY Red Bulls,27,44.5,34.0,18938,1791,5950,8371,4766,759,18928,514,243,47.3,232,45.1,10395,53382,26304,533,388,151,551,234,11690,1306
NYCFC,25,52.2,34.0,21699,2156,6709,9829,5377,884,21694,659,294,44.6,317,48.1,11886,59982,30393,589,419,194,568,336,14479,1496
Orlando City,26,52.5,34.0,21495,1732,6161,9372,6141,807,21490,516,234,45.3,247,47.9,12096,57058,28335,591,459,149,446,250,14956,1597
Philadelphia Union,26,46.9,34.0,18653,1776,5812,8190,4814,777,18648,335,144,43.0,171,51.0,9965,49593,24222,455,344,118,423,195,11536,1247
Portland Timbers,27,48.7,34.0,20776,2136,6664,9690,4632,793,20771,659,303,46.0,301,45.7,11499,58988,29910,581,446,161,528,303,13563,1365
Real Salt Lake,30,53.9,34.0,21927,2057,6581,10309,5244,720,21923,674,294,43.6,344,51.0,12675,63212,33150,614,505,165,535,289,14825,1438
Seattle Sounders,28,50.5,34.0,21440,1968,6413,9738,5464,809,21431,571,268,46.9,258,45.2,11947,60379,29158,563,393,176,473,299,14463,1435
SJ Earthquakes,27,44.6,34.0,19002,2403,7015,8246,3935,608,19001,578,273,47.2,265,45.8,10250,54054,26974,493,329,111,516,259,11891,1122
Sporting KC,25,50.6,34.0,20863,1811,6220,9314,5512,700,20860,576,250,43.4,274,47.6,12020,60030,28465,583,459,178,503,277,13973,1347
St. Louis,35,46.9,34.0,18951,1888,6056,7970,5125,803,18944,534,256,47.9,244,45.7,9874,49973,24171,530,362,159,562,321,11288,1329
Toronto FC,27,49.9,34.0,21022,2146,7335,9287,4604,741,21016,634,297,46.8,285,45.0,11865,57197,26282,530,404,168,520,299,14185,1287
Vancouver W'caps,29,47.6,34.0,20379,2222,6718,9131,4693,736,20376,391,179,45.8,177,45.3,11748,55295,25986,442,365,99,453,209,13959,1251
