team,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Atlanta Utd,28,34.0,54,2,1,369,309,46,697,287,331,6,6,1,1425,400,385,51.0
Austin,26,34.0,87,3,1,444,409,64,626,235,284,6,9,0,1251,356,393,47.5
CF Montréal,30,34.0,75,3,1,398,349,51,456,281,310,4,5,1,1546,299,354,45.8
Charlotte,30,34.0,76,2,0,357,333,56,549,251,254,4,1,0,1413,321,373,46.3
Chicago Fire,27,34.0,68,1,0,429,336,47,616,350,375,3,8,1,1567,397,402,49.7
Colorado Rapids,25,34.0,51,2,1,327,384,73,622,282,305,11,4,2,1376,381,455,45.6
Columbus Crew,29,34.0,45,5,1,283,451,67,504,276,282,4,4,0,1523,263,296,47.0
D.C. United,28,34.0,95,7,4,473,382,73,693,314,372,4,5,2,1608,689,502,57.9
FC Cincinnati,29,34.0,82,4,3,451,400,86,418,304,368,2,6,2,1623,451,368,55.1
FC Dallas,30,34.0,74,1,1,430,397,63,432,273,327,4,8,2,1390,350,347,50.2
Houston Dynamo,26,34.0,75,2,1,427,407,80,567,239,338,1,5,1,1435,357,364,49.5
Inter Miami,31,34.0,95,4,4,388,372,75,416,319,378,1,7,2,1598,270,280,49.1
LA Galaxy,26,34.0,61,3,1,319,417,51,384,297,292,5,5,1,1426,262,283,48.1
LAFC,24,34.0,74,5,3,450,365,56,583,388,377,7,3,3,1519,392,349,52.9
Minnesota Utd,36,34.0,74,4,3,472,321,50,533,339,342,3,4,1,1531,438,521,45.7
Nashville SC,29,34.0,59,2,0,362,386,64,599,341,327,5,5,3,1358,454,474,48.9
NE Revolution,33,34.0,66,4,3,396,368,53,622,296,299,1,8,0,1486,404,391,50.8
NY Red Bulls,27,34.0,58,6,2,400,341,56,534,307,314,9,6,2,1491,528,539,49.5
NYCFC,25,34.0,73,4,0,436,404,73,528,285,344,4,5,0,1595,390,428,47.7
Orlando City,26,34.0,69,1,0,337,405,66,676,248,297,4,8,0,1513,322,434,42.6
Philadelphia Union,26,34.0,64,1,0,374,346,69,652,341,359,3,2,2,1550,513,457,52.9
Portland Timbers,27,34.0,68,3,1,404,442,47,531,325,367,4,4,2,1516,431,386,52.8
Real Salt Lake,30,34.0,75,2,1,450,395,66,591,312,326,1,6,1,1602,321,319,50.2
Seattle Sounders,28,34.0,55,8,4,342,415,32,666,331,341,8,5,0,1574,434,397,52.2
SJ Earthquakes,27,34.0,70,3,1,368,398,44,599,325,329,1,8,1,1446,383,395,49.2
Sporting KC,25,34.0,65,3,1,422,399,60,593,296,332,3,5,4,1563,364,398,47.8
St. Louis,35,34.0,91,1,1,492,374,51,655,327,376,4,6,4,1560,509,419,54.8
Toronto FC,27,34.0,102,5,5,417,391,69,457,293,329,5,5,1,1583,418,406,50.7
Vancouver W'caps,29,34.0,67,3,2,338,329,56,703,298,306,2,6,2,1403,432,414,51.1
