ranker,player,nationality,position,team,age,weekly_wages,annual_wages,notes
1,Lionel Messi,ar ARG,FWMF,Inter Miami,36,$230769 (€ 219167 £ 180651),$12000000 (€ 11396677 £ 9393870),
2,Sergio Busquets,es ESP,MFDF,Inter Miami,35,$163461 (€ 155243 £ 127961),$8499996 (€ 8072642 £ 6653988),
3,Lorenzo Insigne,it ITA,MFFW,Toronto FC,32,$144231 (€ 136979 £ 112907),$7500000 (€ 7122923 £ 5871169),
4,Emil Forsberg,se SWE,MF,NY Red Bulls,32,$103942 (€ 98716 £ 81368),$5405000 (€ 5133253 £ 4231156),
5,Héctor Herrera,mx MEX,MF,Houston Dynamo,33,$91346 (€ 86754 £ 71508),$4750000 (€ 4511185 £ 3718407),
6,Sebastián Driussi,ar ARG,MFFW,Austin,27,$86538 (€ 82188 £ 67744),$4500000 (€ 4273754 £ 3522701),
7,Christian Benteke,be BEL,FW,D.C. United,33,$81731 (€ 77622 £ 63981),$4250000 (€ 4036323 £ 3326996),
8,Carles Gil,es ESP,MF,NE Revolution,31,$76923 (€ 73056 £ 60217),$4000000 (€ 3798892 £ 3131290),
9,Riqui Puig,es ESP,MF,LA Galaxy,24,$76923 (€ 73056 £ 60217),$4000000 (€ 3798892 £ 3131290),
10,Hany Mukhtar,de GER,MFFW,Nashville SC,28,$73077 (€ 69403 £ 57206),$3800000 (€ 3608948 £ 2974726),
11,Alan Pulido,mx MEX,FWMF,Sporting KC,32,$69231 (€ 65750 £ 54195),$3600000 (€ 3419003 £ 2818161),
12,Hugo Cuypers,be BEL,FW,Chicago Fire,26,$62269 (€ 59139 £ 48746),$3238000 (€ 3075203 £ 2534779),
13,Walker Zimmerman,us USA,DF,Nashville SC,30,$61538 (€ 58445 £ 48174),$3200000 (€ 3039114 £ 2505032),
14,Teemu Pukki,fi FIN,FW,Minnesota Utd,33,$61538 (€ 58445 £ 48174),$3200000 (€ 3039114 £ 2505032),
15,Joseph Paintsil,gh GHA,FW,LA Galaxy,25,$60308 (€ 57276 £ 47210),$3136000 (€ 2978332 £ 2454931),
16,Federico Bernardeschi,it ITA,DFMF,Toronto FC,29,$60096 (€ 57075 £ 47045),$3125000 (€ 2967885 £ 2446320),
17,Luciano Acosta,ar ARG,MF,FC Cincinnati,29,$56923 (€ 54061 £ 44561),$2960000 (€ 2811180 £ 2317155),
18,Denis Bouanga,ga GAB,FW,LAFC,29,$56154 (€ 53331 £ 43959),$2920000 (€ 2773191 £ 2285842),
19,Ryan Gauld,sct SCO,FWMF,Vancouver W'caps,28,$55385 (€ 52600 £ 43356),$2880000 (€ 2735202 £ 2254529),
20,Luis Muriel,co COL,FWMF,Orlando City,32,$54477 (€ 51738 £ 42646),$2832817 (€ 2690392 £ 2217593),
21,Olivier Giroud,fr FRA,FW,LAFC,37,$53846 (€ 51139 £ 42152),$2800000 (€ 2659225 £ 2191903),
22,Diego Rossi,uy URU,MFFW,Columbus Crew,25,$51442 (€ 48856 £ 40270),$2675000 (€ 2540509 £ 2094050),
23,Cucho,co COL,FWMF,Columbus Crew,24,$50000 (€ 47486 £ 39141),$2600000 (€ 2469280 £ 2035339),
24,Ezequiel Ponce,ar ARG,FW,Houston Dynamo,26,$49231 (€ 46756 £ 38539),$2560000 (€ 2431291 £ 2004026),
25,Sam Surridge,eng ENG,FW,Nashville SC,25,$48077 (€ 45660 £ 37636),$2500000 (€ 2374308 £ 1957056),
Rk
26,Stuart Armstrong,sct SCO,MFFW,Vancouver W'caps,31,$48077 (€ 45660 £ 37636),$2499996 (€ 2374304 £ 1957053),
27,Aleksei Miranchuk,ru RUS,MFFW,Atlanta Utd,28,$46154 (€ 43833 £ 36130),$2400000 (€ 2279335 £ 1878774),
28,Liel Abada,il ISR,FW,Charlotte,22,$44231 (€ 42007 £ 34625),$2300000 (€ 2184363 £ 1800492),
29,Karol Świderski,pl POL,FW,Charlotte,27,$42308 (€ 40181 £ 33119),$2200000 (€ 2089391 £ 1722210),
30,Albert Rusnák,sk SVK,MF,Seattle Sounders,29,$41346 (€ 39267 £ 32367),$2150000 (€ 2041905 £ 1683068),
31,Nicholas Gioacchini,us USA,FWMF,FC Cincinnati,23,$38462 (€ 36528 £ 30109),$2000004 (€ 1899450 £ 1565648),
32,Jesús Ferreira,us USA,MFFW,FC Dallas,23,$38462 (€ 36528 £ 30109),$2000000 (€ 1899446 £ 1565645),
33,Raúl Ruidíaz,pe PER,FW,Seattle Sounders,33,$38462 (€ 36528 £ 30109),$2000000 (€ 1899446 £ 1565645),
34,Thiago Martins,br BRA,DF,NYCFC,28,$38462 (€ 36528 £ 30109),$2000000 (€ 1899446 £ 1565645),
35,Pep Biel, ,AM,Charlotte,27,$37692 (€ 35797 £ 29506),$1960000 (€ 1861457 £ 1534332),
36,Kevin Cabral,fr FRA,FWMF,Colorado Rapids,24,$37500 (€ 35615 £ 29356),$1950000 (€ 1851960 £ 1526504),
37,Evander, ,CM,Portland Timbers,26,$37115 (€ 35249 £ 29055),$1930000 (€ 1832966 £ 1510847),
38,Sebastián Ferreira,py PAR,FW,Houston Dynamo,25,$36923 (€ 35067 £ 28904),$1920000 (€ 1823468 £ 1503019),
39,Mateusz Klich,pl POL,MF,D.C. United,33,$36538 (€ 34701 £ 28603),$1900000 (€ 1804474 £ 1487363),
