team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
vs Atlanta Utd,28,26.6,50.5,34,374,3060,34.0,48,33,81,45,3,6,63,3,48.9,44.3,35.1,79.3,614,1459,1.41,0.97,2.38,1.32,2.29,1.44,1.03,2.47,1.30,2.33
vs Austin,26,27.2,50.1,34,374,3060,34.0,48,31,79,40,8,9,83,1,57.4,50.3,40.2,90.4,649,1369,1.41,0.91,2.32,1.18,2.09,1.69,1.18,2.87,1.48,2.66
vs CF Montréal,30,26.9,49.9,34,374,3060,34.0,63,45,108,58,5,5,63,4,58.7,54.9,43.6,98.6,562,1489,1.85,1.32,3.18,1.71,3.03,1.73,1.28,3.01,1.62,2.90
vs Charlotte,30,26.7,55.8,34,374,3060,34.0,37,29,66,37,0,1,67,4,44.6,43.9,34.8,78.7,622,1544,1.09,0.85,1.94,1.09,1.94,1.31,1.02,2.34,1.29,2.31
vs Chicago Fire,27,26.6,50.1,34,374,3060,34.0,61,40,101,53,8,8,71,3,51.8,45.5,36.2,81.8,590,1302,1.79,1.18,2.97,1.56,2.74,1.52,1.07,2.59,1.34,2.41
vs Colorado Rapids,25,26.9,51.1,34,374,3060,34.0,58,46,104,55,3,4,77,4,51.8,48.7,37.7,86.4,619,1290,1.71,1.35,3.06,1.62,2.97,1.52,1.11,2.63,1.43,2.54
vs Columbus Crew,29,26.8,41.3,34,374,3060,34.0,40,23,63,37,3,4,81,5,44.1,40.9,33.7,74.6,431,1024,1.18,0.68,1.85,1.09,1.76,1.30,0.99,2.29,1.20,2.19
vs D.C. United,28,26.7,53.0,34,374,3060,34.0,68,55,123,63,5,5,80,6,51.3,47.5,39.8,87.4,509,1313,2.00,1.62,3.62,1.85,3.47,1.51,1.17,2.68,1.40,2.57
vs FC Cincinnati,29,26.6,46.3,34,374,3060,34.0,46,37,83,41,5,6,89,3,39.9,35.2,28.2,63.4,447,1138,1.35,1.09,2.44,1.21,2.29,1.17,0.83,2.00,1.04,1.87
vs FC Dallas,30,27.0,51.1,34,374,3060,34.0,54,43,97,49,5,8,68,4,54.0,47.4,38.1,85.5,495,1327,1.59,1.26,2.85,1.44,2.71,1.59,1.12,2.71,1.39,2.51
