team,players_used,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
vs Atlanta Utd,28,34.0,17160,15604,1487,389,39,151,606,557,174,75,51,3,14079,69,275
vs Austin,26,34.0,16100,14506,1540,472,41,109,625,577,190,93,56,2,13312,54,264
vs CF Montréal,30,34.0,18586,16989,1530,425,51,108,661,620,196,91,64,2,15404,67,282
vs Charlotte,30,34.0,19480,17913,1489,398,55,151,682,570,169,79,54,0,16271,78,278
vs Chicago Fire,27,34.0,17376,15739,1583,443,56,150,496,642,170,80,44,2,14122,54,319
vs Colorado Rapids,25,34.0,17301,15706,1536,381,48,151,571,633,151,76,40,1,14058,59,322
vs Columbus Crew,29,34.0,14608,13221,1312,328,44,109,463,493,136,67,43,2,11789,75,278
vs D.C. United,28,34.0,16504,14811,1618,519,38,130,511,594,161,73,62,5,12965,75,299
vs FC Cincinnati,29,34.0,15613,13919,1647,506,21,83,536,629,151,63,67,1,12230,47,302
vs FC Dallas,30,34.0,17834,16225,1526,452,58,105,565,583,161,80,56,0,14772,83,266
vs Houston Dynamo,26,34.0,13974,12400,1540,485,29,109,559,565,166,82,51,0,11193,34,231
vs Inter Miami,31,34.0,16230,14750,1440,442,49,97,560,503,178,85,56,4,13310,40,290
vs LA Galaxy,26,34.0,16336,14954,1334,344,42,120,631,494,181,88,62,1,13503,48,284
vs LAFC,24,34.0,18410,16771,1611,470,29,108,608,574,165,59,66,1,15258,28,268
vs Minnesota Utd,36,34.0,18404,16619,1692,489,43,161,607,681,195,94,55,6,14778,93,301
vs Nashville SC,29,34.0,17779,16304,1431,401,42,143,582,569,163,62,52,1,14642,44,289
vs NE Revolution,33,34.0,16862,15286,1531,418,36,102,551,629,178,81,66,1,13695,45,280
vs NY Red Bulls,27,34.0,19265,17523,1675,429,47,119,521,727,142,58,61,0,15603,67,331
vs NYCFC,25,34.0,16369,14619,1678,491,38,126,537,674,158,54,63,5,12916,72,318
vs Orlando City,26,34.0,16482,15031,1384,379,39,123,475,486,127,74,39,1,13445,67,270
vs Philadelphia Union,26,34.0,17287,15574,1653,426,57,172,592,676,183,84,60,4,13994,60,328
vs Portland Timbers,27,34.0,17657,16058,1508,423,29,130,597,587,175,74,75,0,14421,91,303
vs Real Salt Lake,30,34.0,15506,13803,1644,497,40,132,521,601,157,69,57,3,12245,59,312
vs Seattle Sounders,28,34.0,17360,15823,1503,357,26,134,580,638,156,71,60,1,14176,34,314
vs SJ Earthquakes,27,34.0,18761,17142,1569,389,41,138,692,650,210,103,73,2,15456,50,318
vs Sporting KC,25,34.0,17179,15529,1575,461,43,93,440,617,147,58,57,0,13928,75,310
vs St. Louis,35,34.0,17146,15286,1794,521,36,119,568,707,182,98,61,0,13495,66,363
vs Toronto FC,27,34.0,17538,15887,1582,461,44,85,538,623,170,69,62,1,14341,69,323
vs Vancouver W'caps,29,34.0,18788,17263,1484,374,35,143,627,585,172,69,65,2,15811,41,295
