team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
Atlanta Utd,28,34.0,45,486,157,32.3,14.29,4.62,0.08,0.25,17.3,18,5,7,51.4,45.9,0.10,-6.4,-5.9
Austin,26,34.0,39,338,100,29.6,9.94,2.94,0.10,0.35,17.0,9,4,6,39.6,35.0,0.11,-0.6,0.0
CF Montréal,30,34.0,46,357,125,35.0,10.50,3.68,0.12,0.34,18.3,12,4,4,43.7,40.6,0.12,+2.3,+1.4
Charlotte,30,34.0,45,382,140,36.6,11.24,4.12,0.11,0.30,16.2,14,3,5,46.7,42.8,0.11,-1.7,-0.8
Chicago Fire,27,34.0,40,409,143,35.0,12.03,4.21,0.09,0.24,18.1,7,5,5,44.0,40.1,0.10,-4.0,-5.1
Colorado Rapids,25,34.0,57,413,151,36.6,12.15,4.44,0.11,0.31,16.8,21,10,15,57.5,45.6,0.12,-0.5,+1.4
Columbus Crew,29,34.0,72,473,173,36.6,13.91,5.09,0.15,0.40,17.2,14,3,6,57.9,53.2,0.12,+14.1,+15.8
D.C. United,28,34.0,52,473,158,33.4,13.91,4.65,0.10,0.30,17.3,13,5,5,52.9,48.9,0.11,-0.9,-1.9
FC Cincinnati,29,34.0,57,482,178,36.9,14.18,5.24,0.11,0.30,18.7,29,3,4,48.4,45.3,0.10,+8.6,+8.7
FC Dallas,30,34.0,51,414,146,35.3,12.18,4.29,0.11,0.32,18.9,16,5,6,41.8,37.1,0.09,+9.2,+8.9
Houston Dynamo,26,34.0,45,467,160,34.3,13.74,4.71,0.09,0.27,17.9,8,2,2,43.1,41.5,0.09,+1.9,+1.5
Inter Miami,31,34.0,78,399,181,45.4,11.74,5.32,0.19,0.43,17.2,23,1,1,53.8,53.0,0.14,+24.2,+24.0
LA Galaxy,26,34.0,68,489,195,39.9,14.38,5.74,0.13,0.33,18.2,19,4,8,63.8,57.5,0.12,+4.2,+6.5
LAFC,24,34.0,62,535,194,36.3,15.74,5.71,0.10,0.28,17.7,17,7,8,59.2,53.1,0.10,+2.8,+1.9
Minnesota Utd,36,34.0,55,448,163,36.4,13.18,4.79,0.11,0.31,17.6,16,5,6,53.2,48.9,0.11,+1.8,+1.1
Nashville SC,29,34.0,37,383,110,28.7,11.26,3.24,0.08,0.29,16.7,10,5,7,44.8,39.5,0.11,-7.8,-7.5
NE Revolution,33,34.0,36,405,136,33.6,11.91,4.00,0.09,0.26,18.0,12,1,1,36.8,36.0,0.09,-0.8,-1.0
NY Red Bulls,27,34.0,53,484,171,35.3,14.24,5.03,0.09,0.26,18.1,17,8,10,56.5,48.8,0.10,-3.5,-3.8
NYCFC,25,34.0,54,462,158,34.2,13.59,4.65,0.11,0.31,17.3,19,5,5,54.5,50.6,0.11,-0.5,-1.6
Orlando City,26,34.0,56,447,151,33.8,13.15,4.44,0.12,0.34,17.4,17,4,5,50.6,46.8,0.11,+5.4,+5.2
Philadelphia Union,26,34.0,62,517,179,34.6,15.21,5.26,0.11,0.32,17.6,9,4,5,59.9,56.1,0.11,+2.1,+1.9
Portland Timbers,27,34.0,64,467,173,37.0,13.74,5.09,0.13,0.34,17.2,28,5,5,54.0,50.2,0.11,+10.0,+8.8
Real Salt Lake,30,34.0,63,522,185,35.4,15.35,5.44,0.11,0.32,19.1,17,4,4,55.2,52.1,0.10,+7.8,+6.9
Seattle Sounders,28,34.0,49,451,143,31.7,13.26,4.21,0.09,0.29,18.0,14,8,9,49.3,42.2,0.10,-0.3,-1.2
SJ Earthquakes,27,34.0,39,404,122,30.2,11.88,3.59,0.09,0.31,17.4,13,1,1,45.4,44.6,0.11,-6.4,-6.6
Sporting KC,25,34.0,51,464,145,31.3,13.65,4.26,0.11,0.35,18.4,17,0,3,42.9,40.5,0.09,+8.1,+10.5
St. Louis,35,34.0,47,501,151,30.1,14.74,4.44,0.08,0.28,18.6,21,5,7,47.0,41.6,0.08,0.0,+0.4
Toronto FC,27,34.0,38,377,128,34.0,11.09,3.76,0.09,0.27,17.6,14,3,6,38.9,34.2,0.09,-0.9,+0.8
Vancouver W'caps,29,34.0,50,425,140,32.9,12.50,4.12,0.11,0.34,16.0,12,2,3,49.4,47.1,0.11,+0.6,+0.9
