rank,team,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,notes
1, NYCFC,3,1,1,1,3,2,+1,4,1.33,3.3,6.0,-2.7,-0.92,→ Conference Semifinals 
2, FC Cincinnati,3,1,1,1,2,3,-1,4,1.33,6.0,3.3,+2.7,+0.92,
