team,players_used,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Atlanta Utd,2,34.0,49,3,2,8,1,49.9,0.28,+1.9,+0.06,238,500,47.6,1004,150,39.8,29.5,268,37.3,33.7,450,25,5.6,29,0.85,10.7
Austin,1,34.0,48,8,2,3,0,54.6,0.26,+6.6,+0.20,181,481,37.6,1173,202,29.4,31.3,253,53.8,43.1,482,35,7.3,40,1.18,13.1
CF Montréal,2,34.0,64,5,3,8,1,64.3,0.33,+1.3,+0.04,77,294,26.2,1022,229,20.1,41.1,276,32.2,29.9,527,27,5.1,45,1.32,4.5
Charlotte,1,34.0,37,0,1,6,0,47.5,0.31,+10.5,+0.31,129,351,36.8,907,167,28.7,30.9,273,33.3,33.3,512,35,6.8,59,1.74,16.7
Chicago Fire,2,34.0,62,8,1,2,1,58.3,0.31,-2.7,-0.08,111,355,31.3,690,164,30.6,33.9,265,54.3,43.5,382,25,6.5,33,0.97,17.0
Colorado Rapids,2,34.0,60,3,0,6,2,47.9,0.28,-10.1,-0.30,143,428,33.4,785,152,35.2,34.7,288,52.8,42.6,423,15,3.5,78,2.29,18.5
Columbus Crew,4,34.0,40,3,2,4,0,43.6,0.29,+3.6,+0.11,83,254,32.7,992,164,20.7,28.2,200,24.5,28.2,355,15,4.2,31,0.94,14.5
D.C. United,2,34.0,70,5,1,8,2,60.6,0.36,-7.4,-0.22,358,815,43.9,1017,119,59.5,41.2,235,89.4,60.2,412,18,4.4,73,2.15,19.6
FC Cincinnati,3,34.0,48,5,0,7,2,45.4,0.28,-0.6,-0.02,98,284,34.5,738,149,27.8,34.0,238,33.2,30.8,425,28,6.6,25,0.74,
FC Dallas,2,34.0,56,5,0,6,2,55.9,0.26,+1.9,+0.05,132,327,40.4,907,141,27.0,30.5,272,30.1,29.1,441,12,2.7,42,1.24,11.7
Houston Dynamo,2,34.0,39,4,0,6,1,45.4,0.29,+7.4,+0.22,78,205,38.0,732,141,19.7,25.8,257,23.7,25.5,443,19,4.3,34,1.00,14.6
Inter Miami,3,34.0,49,5,0,6,2,49.9,0.28,+2.9,+0.09,84,262,32.1,923,186,20.7,24.8,276,25.7,29.7,444,36,8.1,30,0.88,14.3
LA Galaxy,2,34.0,50,4,0,11,1,52.7,0.27,+3.7,+0.11,91,336,27.1,715,157,36.5,21.6,289,26.0,29.1,498,22,4.4,12,0.35,15.0
LAFC,2,34.0,43,1,2,6,3,40.7,0.29,+0.7,+0.02,169,448,37.7,864,127,40.2,33.4,264,38.3,34.3,477,29,6.1,26,0.76,10.3
