rank,team,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,notes
1, Orlando City,3,1,2,0,3,1,+2,5,1.67,4.3,2.6,+1.7,+0.58,→ Conference Semifinals 
2, Charlotte,3,0,2,1,1,3,-2,2,0.67,2.6,4.3,-1.7,-0.58,
