rank,team,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,notes
1, LA Galaxy,2,2,0,0,9,1,+8,6,3.00,4.2,0.5,+3.7,+1.84,→ Conference Semifinals 
2, Colorado Rapids,2,0,0,2,1,9,-8,0,0.00,0.5,4.2,-3.7,-1.84,
