rank,team,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,notes
1, Atlanta Utd,3,2,0,1,6,5,+1,6,2.00,4.2,7.6,-3.4,-1.13,→ Conference Semifinals 
2, Inter Miami,3,1,0,2,5,6,-1,3,1.00,7.6,4.2,+3.4,+1.13,
