ranker,player,nationality,position,team,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,matches
1,Liel Abada,il ISR,FW,Charlotte,22,2001,18.2,465,445,19,0,3,4,43,4,15,6,4,1,330,1,11,Matches
2,Jose Casas de Abadal,us USA,FWDF,Inter Miami,23,2000,0.3,30,29,1,0,0,0,1,0,1,0,1,0,23,0,1,Matches
3,Luis Abram,pe PER,DF,Atlanta Utd,27,1996,12.2,672,640,31,10,0,5,2,2,0,0,0,0,599,1,2,Matches
4,Lalas Abubakar,gh GHA,DF,Colorado Rapids,29,1994,14.2,678,663,14,14,0,1,0,0,0,0,0,0,611,1,1,Matches
5,Kellyn Acosta,us USA,MF,Chicago Fire,28,1995,25.6,1324,1207,112,50,4,12,88,5,56,33,16,0,1058,5,15,Matches
6,Luciano Acosta,ar ARG,MF,FC Cincinnati,29,1994,30.0,1658,1399,251,55,23,26,157,29,108,55,25,1,1215,8,53,Matches
7,Jordan Adebayo-Smith,ng NGA,FWMF,Minnesota Utd,24,2000,2.8,52,51,1,0,0,0,3,0,0,0,0,0,34,0,1,Matches
8,Sam Adekugbe,ca CAN,DFMF,Vancouver W'caps,29,1995,8.3,482,462,18,3,0,2,40,15,0,0,0,0,398,2,6,Matches
9,Samuel Adeniran,us USA,FW,Philadelphia Union,25,1998,1.5,34,34,0,0,0,1,3,0,0,0,0,0,21,0,0,Matches
10,Samuel Adeniran,us USA,FWMF,St. Louis,25,1998,6.6,125,106,19,1,0,1,4,4,0,0,0,0,89,0,2,Matches
11,Leonardo Afonso,br BRA,FWMF,Inter Miami,22,2001,2.7,98,95,1,0,0,2,5,0,0,0,0,0,63,2,6,Matches
12,Stephen Afrifa,ca CAN,FW,Sporting KC,22,2001,8.8,228,225,1,0,1,2,7,0,0,0,0,0,166,2,13,Matches
13,William Agada,ng NGA,FW,Sporting KC,24,1999,19.2,418,362,52,2,2,7,8,2,0,0,0,0,320,4,8,Matches
14,London Aghedo,us USA,DF,FC Cincinnati,23,2000,0.1,9,7,1,1,0,0,0,0,0,0,0,0,7,1,0,Matches
15,Daniel Aguirre,us USA,MFFW,LA Galaxy,24,1999,1.2,99,97,1,0,0,0,1,1,0,0,0,0,88,1,4,Matches
16,Patrick Agyemang,us USA,FW,Charlotte,23,2000,20.4,221,205,13,0,0,0,4,0,0,0,0,0,148,3,12,Matches
17,Ali Ahmed,ca CAN,MFDF,Vancouver W'caps,23,2000,15.0,678,634,39,9,2,6,46,27,1,0,0,0,543,5,24,Matches
18,Forster Ajago,gh GHA,FW,Nashville SC,22,2001,4.2,78,74,3,0,0,0,5,1,0,0,0,0,51,1,2,Matches
