team,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90
vs Atlanta Utd,28,26.6,34,3060,90,100,34.0,374,83,232,140,19,156,1.53,49,46,+3,+0.09,48.9,51.4,-2.5,-0.07
vs Austin,26,27.2,34,3060,90,100,34.0,374,82,234,141,19,155,1.50,48,39,+9,+0.26,57.4,39.6,+17.8,+0.52
vs CF Montréal,30,26.9,34,3060,90,100,34.0,374,80,220,150,19,147,1.44,64,48,+16,+0.47,58.7,43.7,+15.0,+0.44
vs Charlotte,30,26.7,34,3060,90,100,34.0,374,84,224,148,20,153,1.24,37,46,-9,-0.26,44.6,46.7,-2.1,-0.06
vs Chicago Fire,27,26.6,34,3060,90,100,34.0,374,81,234,140,18,154,1.85,62,40,+22,+0.65,51.8,44.0,+7.8,+0.23
vs Colorado Rapids,25,26.9,34,3060,90,100,34.0,374,83,217,155,20,142,1.38,60,61,-1,-0.03,51.8,57.5,-5.7,-0.17
vs Columbus Crew,29,26.8,34,3060,90,100,34.0,374,82,231,141,21,155,0.79,40,72,-32,-0.94,44.1,57.9,-13.9,-0.41
vs D.C. United,28,26.7,34,3060,90,100,34.0,374,81,224,145,20,151,1.53,70,52,+18,+0.53,51.3,52.9,-1.6,-0.05
vs FC Cincinnati,29,26.6,34,3060,90,100,34.0,374,81,231,142,21,156,1.12,48,58,-10,-0.29,39.9,48.4,-8.5,-0.25
vs FC Dallas,30,27.0,34,3060,90,100,34.0,374,82,221,152,21,142,1.56,56,54,+2,+0.06,54.0,41.8,+12.3,+0.36
vs Houston Dynamo,26,27.3,34,3060,90,100,34.0,374,84,218,153,21,139,1.15,39,47,-8,-0.24,45.9,43.1,+2.8,+0.08
vs Inter Miami,31,26.9,34,3060,90,100,34.0,374,83,224,148,19,149,0.59,49,79,-30,-0.88,53.0,53.8,-0.8,-0.02
vs LA Galaxy,26,27.5,34,3060,90,100,34.0,374,84,226,145,21,157,0.91,50,69,-19,-0.56,53.0,63.8,-10.8,-0.32
vs LAFC,24,27.3,34,3060,90,100,34.0,374,84,227,142,21,157,0.91,43,63,-20,-0.59,39.9,59.2,-19.4,-0.57
vs Minnesota Utd,36,27.5,34,3060,90,100,34.0,374,81,233,142,22,152,1.26,49,58,-9,-0.26,50.1,53.2,-3.1,-0.09
vs Nashville SC,29,26.8,34,3060,90,100,34.0,374,82,238,136,19,163,1.68,54,38,+16,+0.47,54.1,44.8,+9.3,+0.27
vs NE Revolution,33,26.8,34,3060,90,100,34.0,374,83,225,149,20,149,1.97,74,37,+37,+1.09,62.8,36.8,+26.0,+0.76
vs NY Red Bulls,27,27.1,34,3060,90,100,34.0,374,83,232,141,21,145,1.21,50,55,-5,-0.15,43.7,56.5,-12.7,-0.37
vs NYCFC,25,26.8,34,3060,90,100,34.0,374,82,232,140,18,160,1.29,49,54,-5,-0.15,47.1,54.5,-7.5,-0.22
vs Orlando City,26,27.1,34,3060,90,100,34.0,374,82,217,155,20,142,1.26,50,59,-9,-0.26,47.0,50.6,-3.6,-0.11
vs Philadelphia Union,26,26.8,34,3060,90,100,34.0,374,83,230,144,20,158,1.62,55,62,-7,-0.21,51.6,59.9,-8.4,-0.25
vs Portland Timbers,27,27.2,34,3060,90,100,34.0,374,83,234,136,19,158,1.29,56,65,-9,-0.26,48.4,54.0,-5.6,-0.17
vs Real Salt Lake,30,27.1,34,3060,90,100,34.0,374,82,223,152,22,147,0.94,48,65,-17,-0.50,43.5,55.2,-11.7,-0.35
vs Seattle Sounders,28,27.2,34,3060,90,100,34.0,374,82,222,148,21,147,1.06,35,51,-16,-0.47,38.3,49.3,-11.0,-0.32
vs SJ Earthquakes,27,27.3,34,3060,90,100,34.0,374,80,223,153,19,141,2.29,78,41,+37,+1.09,58.3,45.4,+12.9,+0.38
vs Sporting KC,25,27.0,34,3060,90,100,34.0,374,81,225,149,22,147,1.88,66,51,+15,+0.44,52.8,42.9,+9.9,+0.29
vs St. Louis,35,27.3,34,3060,90,100,34.0,374,81,232,138,17,160,1.53,63,50,+13,+0.38,57.4,47.0,+10.5,+0.31
vs Toronto FC,27,26.7,34,3060,90,100,34.0,374,80,223,151,20,145,1.79,61,40,+21,+0.62,48.5,38.9,+9.5,+0.28
vs Vancouver W'caps,29,27.1,34,3060,90,100,34.0,374,81,223,147,19,145,1.38,49,52,-3,-0.09,44.6,49.4,-4.9,-0.14
