rank,team,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,notes
1, Seattle Sounders,2,0,2,0,1,1,0,2,1.00,1.8,2.1,-0.3,-0.13,→ Conference Semifinals 
2, Houston Dynamo,2,0,2,0,1,1,0,2,1.00,2.1,1.8,+0.3,+0.13,
