rank,team,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,notes
1, NY Red Bulls,2,1,1,0,3,2,+1,4,2.00,3.0,3.1,-0.2,-0.09,→ Conference Semifinals 
2, Columbus Crew,2,0,1,1,2,3,-1,1,0.50,3.1,3.0,+0.2,+0.09,
