ranker,player,nationality,position,team,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
800,Dominik Yankov,bg BUL,MFFW,CF Montréal,23,2000,7.8,175,227,77.1,2330,669,116,136,85.3,39,48,81.3,7,15,46.7,1,0.4,0.9,+0.6,9,13,5,0,20,Matches
Rk
801,Darren Yapi,us USA,FW,Colorado Rapids,19,2004,8.3,104,156,66.7,1227,247,66,82,80.5,29,50,58.0,0,2,0.0,1,0.4,0.6,+0.6,7,6,3,0,13,Matches
802,William Yarbrough,us USA,GK,SJ Earthquakes,34,1989,19.0,427,558,76.5,12823,9470,64,64,100.0,207,213,97.2,154,278,55.4,0,0.0,0.0,0.0,0,7,0,0,0,Matches
803,Joshua Yaro,gh GHA,DF,St. Louis,29,1994,8.6,337,397,84.9,6368,2372,117,126,92.9,186,204,91.2,29,50,58.0,0,0.0,0.2,0.0,0,22,0,0,18,Matches
804,Patrick Yazbek,au AUS,MF,Nashville SC,21,2002,4.2,187,215,87.0,3239,1082,85,96,88.5,86,95,90.5,15,18,83.3,0,0.6,0.5,-0.6,5,24,4,0,23,Matches
805,Dru Yearwood,eng ENG,MF,Nashville SC,23,2000,16.8,547,667,82.0,10494,2998,209,237,88.2,257,292,88.0,73,109,67.0,1,0.9,1.1,+0.1,11,66,12,3,69,Matches
806,Kelvin Yeboah,it ITA,FW,Minnesota Utd,23,2000,7.9,84,132,63.6,1102,148,50,69,72.5,26,39,66.7,2,4,50.0,1,0.7,0.5,+0.3,4,3,3,0,7,Matches
807,Yaw Yeboah,gh GHA,DFMF,Columbus Crew,26,1997,11.7,485,580,83.6,6456,1797,310,339,91.4,153,183,83.6,5,20,25.0,5,3.4,2.7,+1.6,27,20,22,4,51,Matches
808,DeAndre Yedlin,us USA,DF,Inter Miami,30,1993,3.0,115,134,85.8,1725,349,70,76,92.1,37,43,86.0,7,11,63.6,0,0.0,0.0,0.0,0,3,1,0,3,Matches
809,DeAndre Yedlin,us USA,DF,FC Cincinnati,30,1993,24.4,1031,1263,81.6,17784,6274,455,518,87.8,484,556,87.1,76,136,55.9,3,3.0,2.5,0.0,20,58,18,3,72,Matches
810,Maya Yoshida,jp JPN,DF,LA Galaxy,35,1988,33.7,2189,2351,93.1,40170,15203,817,855,95.6,1155,1193,96.8,187,253,73.9,0,0.1,0.4,-0.1,3,90,1,0,68,Matches
811,Jackson Yueill,us USA,MF,SJ Earthquakes,26,1997,27.2,1371,1545,88.7,23089,8301,670,703,95.3,553,611,90.5,113,167,67.7,1,2.6,2.3,-1.6,24,146,18,5,150,Matches
812,Alhassan Yusuf,ng NGA,MF,NE Revolution,23,2000,5.0,260,300,86.7,4655,1363,114,124,91.9,106,115,92.2,32,39,82.1,1,1.1,0.9,-0.1,4,27,11,0,43,Matches
813,Gyasi Zardes,us USA,FW,Austin,32,1991,13.2,180,262,68.7,2436,433,113,141,80.1,50,77,64.9,9,12,75.0,2,0.3,0.5,+1.7,5,12,3,1,19,Matches
814,Eriq Zavaleta,sv SLV,DF,LA Galaxy,31,1992,1.8,87,97,89.7,1350,508,43,43,100.0,42,45,93.3,1,7,14.3,0,0.0,0.0,0.0,0,0,0,0,1,Matches
815,Sean Zawadzki,us USA,MFDF,Columbus Crew,23,2000,20.8,1186,1313,90.3,19632,6538,588,626,93.9,501,531,94.4,78,108,72.2,1,1.4,0.9,-0.4,9,119,9,0,102,Matches
816,Walker Zimmerman,us USA,DF,Nashville SC,30,1993,21.4,1119,1263,88.6,23101,9765,301,323,93.2,672,720,93.3,141,203,69.5,1,0.7,0.7,+0.3,6,94,4,0,73,Matches
817,Rida Zouhir,ca CAN,MFDF,CF Montréal,20,2003,2.0,120,138,87.0,1832,473,63,68,92.6,45,50,90.0,6,10,60.0,0,0.0,0.1,0.0,0,10,1,1,16,Matches
818,Dario Župarić,ba BIH,DF,Portland Timbers,31,1992,24.7,1133,1296,87.4,22949,8665,333,363,91.7,644,711,90.6,144,195,73.8,0,0.0,0.7,0.0,2,59,4,0,63,Matches
819,Nökkvi Þórisson,is ISL,FWMF,St. Louis,24,1999,13.2,218,317,68.8,3180,787,132,173,76.3,64,94,68.1,16,24,66.7,0,1.9,1.2,-1.9,17,12,10,1,25,Matches
