ranker,player,nationality,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,matches
1,Liel Abada,il ISR,FW,Charlotte,22,2001,18.2,60,3.30,48,2,5,3,2,0,4,0.22,3,0,1,0,0,0,Matches
2,Jose Casas de Abadal,us USA,FWDF,Inter Miami,23,2000,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
3,Luis Abram,pe PER,DF,Atlanta Utd,27,1996,12.2,12,0.98,10,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
4,Lalas Abubakar,gh GHA,DF,Colorado Rapids,29,1994,14.2,5,0.35,4,0,0,0,0,1,2,0.14,1,0,0,0,0,1,Matches
5,Kellyn Acosta,us USA,MF,Chicago Fire,28,1995,25.6,66,2.58,49,11,3,1,1,1,4,0.16,4,0,0,0,0,0,Matches
6,Luciano Acosta,ar ARG,MF,FC Cincinnati,29,1994,30.0,224,7.46,142,37,26,9,7,3,29,0.97,17,4,7,0,1,0,Matches
7,Jordan Adebayo-Smith,ng NGA,FWMF,Minnesota Utd,24,2000,2.8,4,1.42,2,0,1,1,0,0,1,0.35,1,0,0,0,0,0,Matches
8,Sam Adekugbe,ca CAN,DFMF,Vancouver W'caps,29,1995,8.3,21,2.51,20,0,0,1,0,0,3,0.36,3,0,0,0,0,0,Matches
9,Samuel Adeniran,us USA,FW,Philadelphia Union,25,1998,1.5,5,3.28,3,0,1,1,0,0,1,0.66,1,0,0,0,0,0,Matches
10,Samuel Adeniran,us USA,FWMF,St. Louis,25,1998,6.6,12,1.81,7,0,2,3,0,0,2,0.30,1,0,1,0,0,0,Matches
11,Leonardo Afonso,br BRA,FWMF,Inter Miami,22,2001,2.7,13,4.74,9,0,2,0,2,0,2,0.73,0,0,1,0,1,0,Matches
12,Stephen Afrifa,ca CAN,FW,Sporting KC,22,2001,8.8,33,3.73,20,0,7,4,2,0,1,0.11,1,0,0,0,0,0,Matches
13,William Agada,ng NGA,FW,Sporting KC,24,1999,19.2,52,2.70,38,1,1,7,4,1,6,0.31,3,0,1,2,0,0,Matches
14,London Aghedo,us USA,DF,FC Cincinnati,23,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
15,Daniel Aguirre,us USA,MFFW,LA Galaxy,24,1999,1.2,5,4.17,4,0,0,0,1,0,1,0.83,1,0,0,0,0,0,Matches
16,Patrick Agyemang,us USA,FW,Charlotte,23,2000,20.4,57,2.79,28,0,15,3,9,2,15,0.73,6,0,6,1,1,1,Matches
17,Ali Ahmed,ca CAN,MFDF,Vancouver W'caps,23,2000,15.0,52,3.47,42,1,6,1,2,0,4,0.27,3,0,1,0,0,0,Matches
18,Forster Ajago,gh GHA,FW,Nashville SC,22,2001,4.2,8,1.90,6,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
19,Carlos Akapo,gq EQG,DF,SJ Earthquakes,30,1993,17.8,31,1.74,25,2,0,0,1,3,5,0.28,4,1,0,0,0,0,Matches
20,Matai Akinmboni,us USA,DF,D.C. United,17,2006,4.9,3,0.62,3,0,0,0,0,0,1,0.21,1,0,0,0,0,0,Matches
21,Ayo Akinola,ca CAN,FWMF,Toronto FC,24,2000,1.0,1,1.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
22,Jordi Alba,es ESP,DF,Inter Miami,34,1989,24.8,83,3.34,77,4,0,2,0,0,14,0.56,13,0,0,1,0,0,Matches
23,Noah Allen,us USA,DF,Inter Miami,19,2004,10.3,6,0.58,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
24,Rasmus Alm,se SWE,FWMF,St. Louis,28,1995,9.3,17,1.83,13,1,3,0,0,0,2,0.22,2,0,0,0,0,0,Matches
25,Thiago Almada,ar ARG,MFFW,Atlanta Utd,22,2001,15.5,122,7.89,86,18,9,5,4,0,12,0.78,8,0,1,3,0,0,Matches
Rk
26,Fernando Álvarez,co COL,DF,CF Montréal,20,2003,23.8,15,0.63,14,0,0,0,0,1,2,0.08,2,0,0,0,0,0,Matches
27,Pedro Amador,pt POR,DF,Atlanta Utd,25,1998,9.0,24,2.67,21,1,0,0,1,1,4,0.44,4,0,0,0,0,0,Matches
28,Frankie Amaya,us USA,MF,NY Red Bulls,23,2000,17.9,40,2.24,33,1,1,0,3,2,4,0.22,3,0,0,0,0,1,Matches
29,Malte Amundsen,dk DEN,DF,Columbus Crew,25,1998,25.5,40,1.57,35,4,0,1,0,0,5,0.20,5,0,0,0,0,0,Matches
30,Markus Anderson,us USA,MFFW,Philadelphia Union,20,2003,1.1,4,3.67,2,0,0,1,1,0,1,0.92,0,0,0,1,0,0,Matches
31,Sebastian Anderson,us USA,DF,Colorado Rapids,21,2002,5.6,7,1.24,6,1,0,0,0,0,2,0.36,1,1,0,0,0,0,Matches
32,José Andrés Martínez,ve VEN,MF,Philadelphia Union,29,1994,11.3,24,2.13,20,0,0,2,1,1,3,0.27,2,0,0,0,0,1,Matches
33,Tomas Ángel,co COL,FWMF,LAFC,20,2003,0.6,3,5.29,1,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
34,Iván Angulo,co COL,FWMF,Orlando City,24,1999,30.7,93,3.03,75,0,5,2,7,4,14,0.46,10,0,0,2,2,0,Matches
35,Eugene Ansah,gh GHA,FWMF,FC Dallas,29,1994,4.8,16,3.32,14,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
36,Conner Antley,us USA,DF,D.C. United,28,1995,4.8,5,1.04,3,1,0,1,0,0,1,0.21,1,0,0,0,0,0,Matches
37,Antony,br BRA,FWMF,Portland Timbers,22,2001,21.0,75,3.58,52,1,11,5,6,0,12,0.57,9,0,1,1,1,0,Matches
38,Brian Anunga,cm CMR,MF,Nashville SC,27,1996,16.1,16,0.99,12,0,1,0,0,3,0,0.00,0,0,0,0,0,0,Matches
39,Cristian Arango,co COL,FWMF,Real Salt Lake,28,1995,25.4,96,3.78,71,0,6,13,6,0,15,0.59,12,0,0,2,1,0,Matches
40,César Araujo,uy URU,MF,Orlando City,22,2001,26.9,45,1.67,33,0,1,5,6,0,3,0.11,2,0,0,1,0,0,Matches
41,Miguel Araujo,pe PER,DF,Portland Timbers,29,1994,17.1,15,0.87,12,0,0,2,0,1,4,0.23,3,0,0,1,0,0,Matches
42,Scott Arfield,ca CAN,MFFW,Charlotte,35,1988,4.2,13,3.08,11,0,1,0,0,1,1,0.24,1,0,0,0,0,0,Matches
43,Maximilian Arfsten,us USA,DF,Columbus Crew,22,2001,21.8,67,3.07,51,1,11,2,0,2,13,0.59,11,0,1,1,0,0,Matches
44,Allan Arigoni,ch SUI,DF,Chicago Fire,25,1998,23.3,36,1.55,25,3,3,2,2,1,1,0.04,0,0,0,1,0,0,Matches
45,Daniel Armando Ríos,mx MEX,FW,Atlanta Utd,28,1995,15.1,38,2.52,31,0,1,3,3,0,6,0.40,5,0,0,1,0,0,Matches
46,Stuart Armstrong,sct SCO,MFFW,Vancouver W'caps,31,1992,1.4,9,6.33,8,0,0,1,0,0,1,0.70,0,0,0,1,0,0,Matches
47,Xavier Arreaga,ec ECU,DF,NE Revolution,29,1994,21.5,19,0.88,17,1,0,0,1,0,2,0.09,2,0,0,0,0,0,Matches
48,Xavier Arreaga,ec ECU,DF,Seattle Sounders,29,1994,2.8,1,0.35,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
49,Kervin Arriaga,hn HON,DFMF,Minnesota Utd,26,1998,9.8,9,0.92,8,0,0,1,0,0,1,0.10,1,0,0,0,0,0,Matches
50,Paul Arriola,us USA,DFMF,FC Dallas,28,1995,27.3,89,3.26,76,1,4,4,3,1,14,0.51,11,0,0,0,3,0,Matches
Rk
51,Artur,br BRA,MF,Houston Dynamo,27,1996,33.8,53,1.57,45,1,1,3,1,2,4,0.12,3,0,1,0,0,0,Matches
52,Yamil Asad,ar ARG,DF,FC Cincinnati,29,1994,8.9,46,5.19,37,4,3,2,0,0,7,0.79,5,1,0,1,0,0,Matches
53,Dairon Asprilla,co COL,FWDF,Portland Timbers,31,1992,7.6,16,2.10,12,0,1,1,2,0,4,0.52,4,0,0,0,0,0,Matches
54,Joshua Atencio,us USA,MF,Seattle Sounders,22,2002,11.9,34,2.87,29,0,1,3,0,1,1,0.08,1,0,0,0,0,0,Matches
55,Eduard Atuesta,co COL,MF,LAFC,26,1997,24.3,107,4.40,63,28,5,6,4,1,10,0.41,7,1,1,0,1,0,Matches
56,Julián Aude,ar ARG,DF,LA Galaxy,20,2003,18.8,23,1.22,17,0,2,2,2,0,3,0.16,3,0,0,0,0,0,Matches
57,Tomás Avilés,ar ARG,DF,Inter Miami,19,2004,24.4,11,0.45,10,1,0,0,0,0,2,0.08,2,0,0,0,0,0,Matches
