team,players_used,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense
vs Atlanta Utd,28,34.0,866,25.47,681,64,35,42,33,11,80,2.35,59,6,2,6,6,1
vs Austin,26,34.0,915,26.91,655,74,50,66,46,24,80,2.35,60,4,3,6,5,2
vs CF Montréal,30,34.0,845,24.85,635,78,27,61,36,8,111,3.26,88,5,3,7,8,0
vs Charlotte,30,34.0,837,24.62,659,56,32,54,21,15,67,1.97,52,4,3,6,2,0
vs Chicago Fire,27,34.0,804,23.65,561,75,52,51,43,22,107,3.15,70,7,9,10,9,2
vs Colorado Rapids,25,34.0,822,24.18,630,58,48,55,18,13,96,2.82,70,3,9,12,1,1
vs Columbus Crew,29,34.0,621,18.26,444,59,36,41,24,17,69,2.03,42,5,7,9,5,1
vs D.C. United,28,34.0,760,22.35,552,62,46,38,48,14,115,3.38,90,8,6,4,7,0
vs FC Cincinnati,29,34.0,708,20.82,506,73,30,39,41,19,80,2.35,53,9,4,5,6,3
vs FC Dallas,30,34.0,870,25.59,631,67,36,68,54,14,93,2.74,73,4,3,9,4,0
vs Houston Dynamo,26,34.0,712,20.94,528,65,30,32,42,15,64,1.88,44,7,2,4,6,1
vs Inter Miami,31,34.0,834,24.53,617,63,50,48,35,21,80,2.35,56,6,5,6,5,2
vs LA Galaxy,26,34.0,928,27.29,701,67,48,58,37,17,83,2.44,54,9,3,10,5,2
vs LAFC,24,34.0,786,23.12,564,63,44,47,48,20,67,1.97,43,5,8,5,5,1
vs Minnesota Utd,36,34.0,705,20.74,485,84,39,34,49,14,86,2.53,67,5,7,3,4,0
vs Nashville SC,29,34.0,844,24.82,643,53,53,46,28,21,91,2.68,60,6,7,11,4,3
vs NE Revolution,33,34.0,958,28.18,724,67,41,66,40,20,126,3.71,91,9,4,12,6,4
vs NY Red Bulls,27,34.0,653,19.21,460,60,42,37,43,11,87,2.56,60,2,6,7,9,3
vs NYCFC,25,34.0,722,21.24,532,63,39,45,23,20,76,2.24,48,4,7,12,4,1
vs Orlando City,26,34.0,707,20.79,533,59,43,33,28,11,92,2.71,72,2,9,2,5,2
vs Philadelphia Union,26,34.0,825,24.26,636,57,41,50,29,12,97,2.85,76,3,7,5,5,1
vs Portland Timbers,27,34.0,792,23.29,553,73,44,64,42,16,94,2.76,65,11,3,10,3,2
vs Real Salt Lake,30,34.0,746,21.94,554,67,40,39,37,9,78,2.29,61,3,3,4,5,2
vs Seattle Sounders,28,34.0,702,20.65,522,56,32,43,33,16,62,1.82,43,2,6,6,3,2
vs SJ Earthquakes,27,34.0,916,26.94,668,70,71,62,32,13,132,3.88,91,10,8,14,8,1
vs Sporting KC,25,34.0,658,19.35,471,66,31,49,34,7,109,3.21,76,8,9,10,5,1
vs St. Louis,35,34.0,772,22.71,543,67,49,63,37,13,100,2.94,74,5,7,6,6,2
vs Toronto FC,27,34.0,747,21.97,537,68,33,41,45,23,106,3.12,78,4,8,3,7,6
vs Vancouver W'caps,29,34.0,716,21.06,569,45,26,42,28,6,80,2.35,61,1,2,11,4,1
