team,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Atlanta Utd,2,34,34,3058,34.0,49,1.44,164,113,72.0,10,10,14,5,14.7,6,3,3,0,50.0
Austin,1,34,34,3060,34.0,48,1.41,178,129,77.5,11,9,14,8,23.5,9,8,1,0,11.1
CF Montréal,2,34,34,3060,34.0,64,1.88,182,119,67.6,11,10,13,8,23.5,5,5,0,0,0.0
Charlotte,1,34,34,3060,34.0,37,1.09,154,116,76.0,14,9,11,12,35.3,1,0,1,0,100.0
Chicago Fire,2,34,34,3060,34.0,62,1.82,168,107,67.9,7,9,18,4,11.8,8,8,0,0,0.0
Colorado Rapids,2,34,34,3060,34.0,60,1.76,163,105,65.0,15,5,14,6,17.6,4,3,0,1,0.0
Columbus Crew,4,34,34,2970,34.0,40,1.21,145,105,74.5,19,9,6,12,35.3,4,3,0,1,0.0
D.C. United,2,34,34,3060,34.0,70,2.06,157,89,58.6,10,10,14,2,5.9,5,5,0,0,0.0
FC Cincinnati,3,34,34,3060,34.0,48,1.41,144,97,70.1,18,5,11,7,20.6,6,5,1,0,16.7
FC Dallas,2,34,34,3060,34.0,56,1.65,191,134,73.3,11,8,15,7,20.6,8,5,3,0,37.5
Houston Dynamo,2,34,34,3060,34.0,39,1.15,146,107,76.0,15,9,10,8,23.5,5,4,1,0,20.0
Inter Miami,3,34,34,3060,34.0,49,1.44,159,110,72.3,22,8,4,6,17.6,7,5,2,0,28.6
LA Galaxy,2,34,34,3060,34.0,50,1.47,178,128,74.2,19,7,8,7,20.6,5,4,1,0,20.0
LAFC,2,34,34,3060,34.0,43,1.26,137,96,69.3,19,7,8,12,35.3,3,1,1,1,50.0
Minnesota Utd,3,34,34,3060,34.0,49,1.44,145,96,67.6,15,7,12,7,20.6,4,2,1,1,33.3
Nashville SC,2,34,34,3058,34.0,54,1.59,166,114,68.7,9,9,16,9,26.5,5,2,1,2,33.3
NE Revolution,3,34,34,3060,34.0,74,2.18,203,127,66.5,9,4,21,5,14.7,8,6,2,0,25.0
NY Red Bulls,2,34,34,3060,34.0,50,1.47,131,83,66.4,11,14,9,7,20.6,6,6,0,0,0.0
NYCFC,2,34,34,3060,34.0,49,1.44,170,120,73.5,14,8,12,5,14.7,5,4,1,0,20.0
Orlando City,3,34,34,3060,34.0,50,1.47,136,84,67.6,15,7,12,9,26.5,8,6,2,0,25.0
Philadelphia Union,3,34,34,3060,34.0,55,1.62,163,110,67.5,9,10,15,8,23.5,2,2,0,0,0.0
Portland Timbers,2,34,34,3058,34.0,56,1.65,146,91,63.0,12,11,11,6,17.6,4,2,1,1,33.3
Real Salt Lake,2,34,34,3060,34.0,48,1.41,152,104,71.1,16,11,7,9,26.5,6,4,1,1,20.0
Seattle Sounders,2,34,34,3057,34.0,35,1.03,125,89,75.2,16,9,9,13,38.2,5,4,1,0,20.0
SJ Earthquakes,3,34,34,3060,34.0,78,2.29,190,112,62.6,6,3,25,2,5.9,8,7,1,0,12.5
Sporting KC,2,34,34,3060,34.0,66,1.94,148,83,56.8,8,7,19,3,8.8,5,2,3,0,60.0
St. Louis,2,34,34,3060,34.0,63,1.85,167,107,65.3,8,13,13,7,20.6,6,5,1,0,16.7
Toronto FC,2,34,34,3060,34.0,61,1.79,161,101,65.2,11,4,19,8,23.5,5,5,0,0,0.0
Vancouver W'caps,2,34,34,3060,34.0,49,1.44,138,90,68.1,13,8,13,7,20.6,6,5,1,0,16.7
