ranker,player,nationality,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
707,Zack Steffen,us USA,GK,Colorado Rapids,28,1995,33.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
708,Daniel Steres,us USA,DF,Houston Dynamo,33,1990,13.0,2,9,4,44.4,0.69,0.31,0.22,0.50,17.2,0,0,0,0.5,0.5,0.06,+1.5,+1.5,Matches
709,Kimani Stewart-Baynes,ca CAN,FWMF,Colorado Rapids,19,2005,1.6,0,1,0,0.0,0.64,0.00,0.00,,10.2,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
710,Jared Stroud,us USA,MFFW,D.C. United,27,1996,27.7,3,59,12,20.3,2.13,0.43,0.05,0.25,19.7,0,0,0,5.2,5.2,0.09,-2.2,-2.2,Matches
711,Peter Stroud,us USA,MF,NY Red Bulls,21,2002,9.4,0,3,1,33.3,0.32,0.11,0.00,0.00,14.1,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches
712,Brad Stuver,us USA,GK,Austin,32,1991,34.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
713,Luis Suárez,uy URU,FW,Inter Miami,37,1987,21.3,20,74,47,63.5,3.47,2.21,0.27,0.43,14.8,2,0,0,13.4,13.4,0.18,+6.6,+6.6,Matches
714,Cavan Sullivan,us USA,MFFW,Philadelphia Union,14,2009,0.1,0,2,2,100.0,18.00,18.00,0.00,0.00,23.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
715,Quinn Sullivan,us USA,MFFW,Philadelphia Union,19,2004,26.7,5,77,23,29.9,2.88,0.86,0.06,0.22,21.3,0,0,0,3.9,3.9,0.05,+1.1,+1.1,Matches
716,Lawson Sunderland,us USA,MF,Inter Miami,22,2001,2.1,0,1,0,0.0,0.47,0.00,0.00,,24.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
717,Finn Surman,nz NZL,DF,Portland Timbers,20,2003,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
718,Sam Surridge,eng ENG,FW,Nashville SC,25,1998,26.5,12,63,25,39.7,2.38,0.94,0.19,0.48,11.7,0,0,0,10.2,10.2,0.16,+1.8,+1.8,Matches
