ranker,player,nationality,position,team,age,weekly_wages,annual_wages,notes
73,Paxton Pomykal,us USA,AM,FC Dallas,25,$18269 (€ 16023 £ 13625),$950000 (€ 833197 £ 708496),
74,Tomás Chancalay,ar ARG,FW,NE Revolution,26,$18269 (€ 16023 £ 13625),$950000 (€ 833197 £ 708496),
75,Cedric Teuchert,de GER,FWMF,St. Louis,28,$18269 (€ 16023 £ 13625),$950000 (€ 833197 £ 708496),
76,Saba Lobjanidze, ,LW,Atlanta Utd,30,$17308 (€ 15180 £ 12908),$900000 (€ 789344 £ 671207),
77,Zack Steffen,us USA,GK,Colorado Rapids,29,$17308 (€ 15180 £ 12908),$900000 (€ 789344 £ 671207),
78,Martín Ojeda,ar ARG,MFFW,Orlando City,26,$17308 (€ 15180 £ 12908),$900000 (€ 789344 £ 671207),
79,Keaton Parks,us USA,MF,NYCFC,27,$17308 (€ 15180 £ 12908),$900000 (€ 789344 £ 671207),
80,Kai Wagner,de GER,DF,Philadelphia Union,27,$16827 (€ 14758 £ 12549),$875000 (€ 767418 £ 652562),
81,Cole Bassett,us USA,MFFW,Colorado Rapids,23,$16346 (€ 14336 £ 12191),$850000 (€ 745492 £ 633918),
82,Sam Vines,us USA,DF,Colorado Rapids,25,$16346 (€ 14336 £ 12191),$850000 (€ 745492 £ 633918),
83,Robin Jansson,se SWE,DF,Orlando City,33,$16346 (€ 14336 £ 12191),$850000 (€ 745492 £ 633918),
84,Amahl Pellegrino, ,LW,SJ Earthquakes,34,$16346 (€ 14336 £ 12191),$850000 (€ 745492 £ 633918),
85,Hernán López, ,AM,SJ Earthquakes,24,$16346 (€ 14336 £ 12191),$850000 (€ 745492 £ 633918),
86,DeAndre Yedlin,us USA,DF,FC Cincinnati,31,$16346 (€ 14336 £ 12191),$850000 (€ 745492 £ 633918),
87,Duncan McGuire, ,CF,Orlando City,24,$15865 (€ 13915 £ 11832),$825000 (€ 723566 £ 615273),
88,Sam Adekugbe,ca CAN,DF,Vancouver W'caps,30,$15865 (€ 13915 £ 11832),$825000 (€ 723566 £ 615273),
89,Pablo Ruíz,ar ARG,MF,Real Salt Lake,26,$15865 (€ 13915 £ 11832),$825000 (€ 723566 £ 615273),
90,Brian Gutiérrez,us USA,MF,Chicago Fire,21,$15450 (€ 13551 £ 11523),$803409 (€ 704629 £ 599171),
91,Alhassan Yusuf,ng NGA,MF,NE Revolution,24,$15385 (€ 13493 £ 11474),$800000 (€ 701639 £ 596628),
92,Andre Blake,jm JAM,GK,Philadelphia Union,34,$15385 (€ 13493 £ 11474),$800000 (€ 701639 £ 596628),
93,Pedro Gallese,pe PER,GK,Orlando City,34,$15385 (€ 13493 £ 11474),$800000 (€ 701639 £ 596628),
94,Steven Moreira,cv CPV,DF,Columbus Crew,30,$15385 (€ 13493 £ 11474),$800000 (€ 701639 £ 596628),
95,Mathías Laborda, ,CB,Vancouver W'caps,25,$15385 (€ 13493 £ 11474),$800000 (€ 701639 £ 596628),
96,Maya Yoshida,jp JPN,DF,LA Galaxy,36,$15385 (€ 13493 £ 11474),$800000 (€ 701639 £ 596628),
97,Sergio Santos Gomes,br BRA,FWMF,FC Cincinnati,30,$15385 (€ 13493 £ 11474),$800000 (€ 701639 £ 596628),
98,Jonathan Osorio,ca CAN,MF,Toronto FC,32,$15155 (€ 13291 £ 11302),$788036 (€ 691146 £ 587706),
99,Pedro De la Vega,ar ARG,FWMF,Seattle Sounders,23,$15096 (€ 13240 £ 11259),$785000 (€ 688484 £ 585442),
100,Erik Sviatchenko, ,CB,Houston Dynamo,33,$14904 (€ 13071 £ 11115),$774996 (€ 679710 £ 577981),
101,Tyler Boyd,us USA,LW,Nashville SC,30,$14808 (€ 12987 £ 11043),$770000 (€ 675328 £ 574255),
102,Brian White,us USA,FW,Vancouver W'caps,28,$14510 (€ 12726 £ 10821),$754500 (€ 661734 £ 562695),
103,Sigurd Rosted,no NOR,DF,Toronto FC,30,$14423 (€ 12650 £ 10757),$750000 (€ 657787 £ 559339),
104,Sebastian Lletget,us USA,MF,FC Dallas,32,$14423 (€ 12650 £ 10757),$750000 (€ 657787 £ 559339),
105,Reggie Cannon,us USA,DF,Colorado Rapids,26,$14423 (€ 12650 £ 10757),$750000 (€ 657787 £ 559339),
106,Aaron Herrera,gt GUA,DFMF,D.C. United,27,$14423 (€ 12650 £ 10757),$750000 (€ 657787 £ 559339),
107,Yeimar Gómez Andrade,co COL,DF,Seattle Sounders,32,$14423 (€ 12650 £ 10757),$750000 (€ 657787 £ 559339),
108,Tristan Blackmon,us USA,DF,Vancouver W'caps,28,$14423 (€ 12650 £ 10757),$750000 (€ 657787 £ 559339),
109,Ashley Westwood,eng ENG,MF,Charlotte,34,$14423 (€ 12650 £ 10757),$750000 (€ 657787 £ 559339),
110,Kamal Miller,ca CAN,DF,Portland Timbers,27,$14279 (€ 12523 £ 10649),$742500 (€ 651209 £ 553746),
